time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/06/24/21:38:57.288651,10032,1593002337,288233757,,,0,1593002368,-305.1410522,-726.1524048,21.59401512,0.00739005907,0,0,0,0,0,-19.67159843,0.0176129919,1593002337.28823
2020/06/24/21:38:57.297843,10033,1593002337,297515153,,,0,1593002368,-305.1410522,-726.1524048,21.59401512,0.00587558793,0,0,0,0,0,-19.67159843,0.0176129919,1593002337.29752
2020/06/24/21:38:57.389223,10034,1593002337,388944387,,,0,1593002368,-305.1410522,-726.1524048,21.59402275,0.00294317887,0,0,0,0,0,-19.67159843,0.0176129919,1593002337.38894
2020/06/24/21:38:57.489193,10035,1593002337,488933324,,,0,1593002368,-305.1410522,-726.1524048,21.59403229,0.00564129371,0,0,0,0,0,-19.67159843,0.0176129919,1593002337.48893
2020/06/24/21:38:57.589233,10036,1593002337,588949680,,,0,1593002368,-305.1410522,-726.1524048,21.59403419,0.00314278738,0,0,0,0,0,-19.67159843,0.0176129919,1593002337.58895
2020/06/24/21:38:57.689382,10037,1593002337,689036130,,,0,1593002368,-305.1410522,-726.1524048,21.59407234,0.00273423805,0,0,0,0,0,-19.67159843,0.0176129919,1593002337.68904
2020/06/24/21:38:57.789258,10038,1593002337,788970232,,,0,1593002368,-305.1410522,-726.1524048,21.59412003,0.00385329244,0,0,0,0,0,-19.67159843,0.0176129919,1593002337.78897
2020/06/24/21:38:57.889286,10039,1593002337,888956785,,,0,1593002368,-305.1410522,-726.1524048,21.59413147,0.00560580008,0,0,0,0,0,-19.67159843,0.0176129919,1593002337.88896
2020/06/24/21:38:57.989287,10040,1593002337,988957405,,,0,1593002368,-305.1410522,-726.1524048,21.59413528,0.0066540665,0,0,0,0,0,-19.67159843,0.0176129919,1593002337.98896
2020/06/24/21:38:58.089289,10041,1593002338,88959932,,,0,1593002368,-305.1410522,-726.1524048,21.59413528,0.00616385415,0,0,0,0,0,-19.67159843,0.0176129919,1593002338.08896
2020/06/24/21:38:58.189304,10042,1593002338,188971519,,,0,1593002368,-305.1410522,-726.1524048,21.59413719,0.0017455183,0,0,0,0,0,-19.67159843,0.0176129919,1593002338.18897
