,time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
28370,2020/07/21/19:38:07.062259,28371,1595327887,61970233,,,0,1595327872,-1355.653809,2312.668701,97.47402191,94.04811096,-0.0470127761,0.743660867,-0.651223481,0.0,0.0,55.56719971,0.0498984084,1595327887.06197
28371,2020/07/21/19:38:07.162263,28372,1595327887,161969900,,,0,1595327872,-1358.074341,2312.655518,97.45387268,93.21652985,-0.293182522,0.14156465199999999,-0.6560805439999999,0.0,0.0,56.07419586,0.0500163138,1595327887.16197
28372,2020/07/21/19:38:07.262264,28373,1595327887,261960983,,,0,1595327872,-1360.076782,2312.587158,97.4506073,91.93904877,-0.0985501409,0.380708605,-1.0981098409999999,0.0,0.0,54.04619598,0.050113033499999994,1595327887.26196
28373,2020/07/21/19:38:07.362255,28374,1595327887,361969947,,,0,1595327872,-1363.330322,2312.345459,97.49452972,90.38227081,-0.0340137035,-0.17810848399999998,-0.7308044429999999,0.0,0.0,56.88539886,0.0502696745,1595327887.36197
28374,2020/07/21/19:38:07.462086,28375,1595327887,461966753,,,0,1595327872,-1365.9338380000002,2312.063965,97.52142334,89.33426666,-0.0552735925,-0.458627999,-0.7434794309999999,0.0,0.0,61.24559784,0.0503933802,1595327887.4619699
28375,2020/07/21/19:38:07.562305,28376,1595327887,561969041,,,0,1595327872,-1368.199707,2311.750732,97.51821899,87.78593445,-0.207749575,0.321554214,-1.134759903,0.0,0.0,62.36099625,0.0504998304,1595327887.56197
28376,2020/07/21/19:38:07.662250,28377,1595327887,661968231,,,0,1595327872,-1370.687134,2311.288818,97.53812408,85.91921997,-0.144048542,0.24856022,-1.295301676,0.0,0.0,63.93270111,0.050618030099999996,1595327887.66197
28377,2020/07/21/19:38:07.762239,28378,1595327887,761958837,,,0,1595327872,-1372.82666,2310.783203,97.57983398,84.51831818,-0.160543084,0.031295869500000004,-1.076127291,0.0,0.0,69.50969696,0.0507204495,1595327887.76196
28378,2020/07/21/19:38:07.862286,28379,1595327887,861952543,,,0,1595327872,-1375.1757810000001,2310.121338,97.63425446,82.97947693,-0.276628673,0.011056683999999999,-1.058146358,0.0,0.0,69.61109924,0.050834994800000005,1595327887.86195
28379,2020/07/21/19:38:07.962222,28380,1595327887,962077140,,,0,1595327872,-1377.195557,2309.459229,97.67884827,81.81501007,-0.0106888115,-0.107847229,-1.033133268,0.387950003,0.0,70.62509918,0.0509332642,1595327887.96208
