time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/06/24/21:10:10.845201,1,1593000610,844659566,,,0,1593000576,-137.4671783,-217.6737366,5.554719925,89.54751587,0.319168836,-0.0290986151,0.00118072331,1,0,0.152099997,0.054740496,1593000610.84466
2020/06/24/21:10:10.854893,2,1593000610,854587793,,,0,1593000576,-137.5827637,-217.8657532,5.554609299,89.65131378,0.309260368,-0.0209305715,-0.00448903441,1,0,-0.101399995,0.0548312776,1593000610.85459
2020/06/24/21:10:10.945861,3,1593000610,945435285,,,0,1593000576,-138.5121765,-219.4095917,5.553245068,90.4516449,0.310613006,-0.00232674181,-0.00228568912,1,0,0.304199994,0.0555642135,1593000610.94544
2020/06/24/21:10:11.045765,4,1593000611,45437097,,,0,1593000576,-139.7622986,-221.4859314,5.552046299,91.17050171,0.150587961,-0.00362647045,0.00378224254,1,0,0.304199994,0.0565517023,1593000611.04544
2020/06/24/21:10:11.145612,5,1593000611,145334959,,,0,1593000576,-140.5473175,-222.7900085,5.551624775,91.4280777,0.13002573,-0.0236807186,-0.0223398618,1,0,2.180099726,0.0571711659,1593000611.14534
2020/06/24/21:10:11.245800,6,1593000611,245451211,,,0,1593000576,-142.1986542,-225.5380859,5.548239708,91.68981934,0.0114521626,-0.0287068896,0.00259645144,0.840449989,0,-1.115399957,0.0584767759,1593000611.24545
2020/06/24/21:10:11.345690,7,1593000611,345378637,,,0,1593000576,-143.4576721,-227.634964,5.546382904,91.72798157,0.0163093731,0.0361251049,-0.0275366828,0.903949976,0,2.534999847,0.0594729446,1593000611.34538
2020/06/24/21:10:11.445627,8,1593000611,445354461,,,0,1593000576,-145.1069641,-230.3887634,5.55039835,91.71829224,0.0166909024,-0.059121497,-0.0351748094,0.863649964,0,2.534999847,0.0607799925,1593000611.44535
2020/06/24/21:10:11.545673,9,1593000611,545361757,,,0,1593000576,-145.6165771,-231.2418823,5.551420689,91.73627472,0.0260628965,0.0150315883,-0.0391238928,0.838949978,0,2.180099726,0.0611849055,1593000611.54536
2020/06/24/21:10:11.645623,10,1593000611,645345449,,,0,1593000576,-147.4154663,-234.2630157,5.5526824,91.70872498,0.0100173801,-0.0203116667,-0.0492784083,0.829450011,0,1.977299929,0.0626164898,1593000611.64535
2020/06/24/21:10:11.745638,11,1593000611,745347499,,,0,1593000576,-148.7788696,-236.5644989,5.552774906,91.71118164,0.00494112261,-0.0105815055,-0.049343951,1,0,2.078700066,0.0637057722,1593000611.74535
2020/06/24/21:10:11.845703,12,1593000611,845385789,,,0,1593000576,-149.5556335,-237.8807373,5.552958488,91.69715881,-0.00426540058,0.0150899813,-0.0378181301,1,0,1.825199962,0.0643288866,1593000611.84539
2020/06/24/21:10:11.945682,13,1593000611,945384740,,,0,1593000576,-151.1821899,-240.6475372,5.554704189,91.6911087,-0.0347865745,0.140809417,-0.0546781756,0.757849991,0,1.774499893,0.0656365603,1593000611.94538
2020/06/24/21:10:12.045626,14,1593000612,45347929,,,0,1593000576,-152.3773041,-242.6902466,5.564798355,91.54660034,-0.0358425975,0.052764833,-0.0441527963,0.158199996,0,1.166100025,0.0666016489,1593000612.04535
2020/06/24/21:10:12.145635,15,1593000612,145352363,,,0,1593000576,-153.6822357,-244.9286957,5.577080727,91.37388611,-0.0204806365,-0.21357353,-0.0174232461,0,0,1.216799974,0.0676554739,1593000612.14535
2020/06/24/21:10:12.245636,16,1593000612,245350837,,,0,1593000576,-154.8684998,-246.9677582,5.571696281,91.26809692,-0.0471294336,-0.094443962,-0.0323900133,0.0881500244,0,2.33220005,0.0686178505,1593000612.24535
2020/06/24/21:10:12.345637,17,1593000612,345350027,,,0,1593000576,-156.4305725,-249.6635132,5.552733421,91.11103058,-0.0397674739,0.0578191392,-0.0764967725,0,0,3.903899908,0.0698892772,1593000612.34535
2020/06/24/21:10:12.445604,18,1593000612,445335626,,,0,1593000576,-157.490448,-251.5046997,5.544826508,90.99998474,-0.0406908169,0.0886294469,-0.073707588,0,0,3.396899939,0.0707559213,1593000612.44534
2020/06/24/21:10:12.545617,19,1593000612,545337200,,,0,1593000576,-159.0697937,-254.2674713,5.542193413,90.85161591,-0.0421788953,0.00282002566,-0.0751309395,0,0,4.106699944,0.0720503554,1593000612.54534
2020/06/24/21:10:12.645555,20,1593000612,645290851,,,0,1593000576,-160.4809113,-256.756897,5.543749809,89.32878113,-0.652255058,-0.0232961848,-0.123228058,0,0,8.568299294,0.0732127056,1593000612.64529
2020/06/24/21:10:12.745610,21,1593000612,745333909,,,0,1593000576,-161.5676727,-258.6953125,5.545855045,88.64485931,-0.165020213,0.0148892114,-0.15943867,0,0,7.959899902,0.0741099939,1593000612.74533
2020/06/24/21:10:12.845622,22,1593000612,845333576,,,0,1593000576,-162.4605103,-260.3059692,5.548155785,88.20689392,-0.154466406,-0.039475102,-0.157203406,0,0,8.923199654,0.0748542771,1593000612.84533
2020/06/24/21:10:12.945641,23,1593000612,945355892,,,0,1593000576,-163.7929382,-262.7483826,5.550911903,87.57004547,-0.157643795,-0.0108797653,-0.228874922,0,0.00410641264,13.33409977,0.0759679899,1593000612.94536
2020/06/24/21:10:13.045661,24,1593000613,45367240,,,0,1593000576,-164.7179718,-264.4810791,5.552235603,87.04510498,-0.241842598,0.0107655395,-0.296244621,0,0.0666343644,19.11389923,0.0767498165,1593000613.04537
