,time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp,lateralOffset
0,2020/06/24/22:33:48.093468,27713,1593005628,92993259,,,0,1593005568,-61.51563263,22.21562386,0.9028806090000001,31.63794327,0.700442433,-0.007819689809999999,0.0203795545,1.0,0.0,-9.227399826000001,0.0012450919000000001,1593005628.09299,-3.361596505454297
1,2020/06/24/22:33:48.102404,27714,1593005628,102080106,,,0,1593005568,-61.62178802,22.22139549,0.904267013,31.93193054,0.691551328,-0.00699951267,0.0195923969,1.0,0.0,-9.227399826000001,0.0012650854199999998,1593005628.10208,-3.356162946090847
2,2020/06/24/22:33:48.193974,27715,1593005628,193672180,,,0,1593005568,-62.05613327,22.24526405,0.909941673,33.10060883,0.6818038820000001,-0.0172883049,0.0222012699,1.0,0.0,-9.125999451,0.00134888152,1593005628.19367,-3.3334064142112316
3,2020/06/24/22:33:48.293920,27716,1593005628,293642997,,,0,1593005568,-62.70745087,22.28199196,0.9181988240000001,34.75574493,0.672861397,-0.0163929984,0.0327557735,1.0,0.0,-9.125999451,0.0014738405599999998,1593005628.2936401,-3.298346040423015
4,2020/06/24/22:33:48.394225,27717,1593005628,393692731,,,0,1593005568,-63.97837067,22.35763931,0.933984935,37.78617859,0.669201374,0.0011503658,0.0389126614,1.0,0.0,-8.821800232000001,0.0017175898,1593005628.39369,-3.225951600916765
5,2020/06/24/22:33:48.494122,27718,1593005628,493673324,,,0,1593005568,-65.01712799,22.42335701,0.947553813,40.05928802,0.665133715,-0.0136165954,0.0408746116,1.0,0.0,-8.314800262,0.0019167073800000001,1593005628.49367,-3.1629032671278785
6,2020/06/24/22:33:48.594010,27719,1593005628,593666076,,,0,1593005568,-66.46959686,22.52087021,0.966513634,42.90390396,0.621260285,-0.00837686192,0.0393161811,1.0,0.0,-6.692399979,0.00219527376,1593005628.59367,-3.068948216250145
7,2020/06/24/22:33:48.693961,27720,1593005628,693657636,,,0,1593005568,-67.19528198,22.57173729,0.97606796,44.20040512,0.60387665,-0.00894563552,0.029723275499999997,1.0,0.0,-4.7657999989999995,0.00233493769,1593005628.69366,-3.0195871717113487
8,2020/06/24/22:33:48.794263,27721,1593005628,793673276,,,0,1593005568,-68.90444946,22.69441605,0.998357713,46.98336411,0.565396786,-0.0127024753,0.00126611069,1.0,0.0,-0.304199994,0.00266305986,1593005628.79367,-2.9000325531971662
9,2020/06/24/22:33:48.894220,27722,1593005628,893644094,,,0,1593005568,-69.41722107,22.73143578,1.00485909,47.75483322,0.55770421,-0.0142370965,0.00222518295,1.0,0.0,-0.304199994,0.0027608280100000003,1593005628.89364,-2.863923261380367
10,2020/06/24/22:33:48.994221,27723,1593005628,993670225,,,0,1593005568,-71.50782013,22.8818512,1.030566216,50.69235229,0.519949675,-0.0071048676,-0.0166710317,1.0,0.0,1.977299929,0.00316283386,1593005628.99367,-2.717125159648444
11,2020/06/24/22:33:49.093949,27724,1593005629,93667984,,,0,1593005568,-72.79462433,22.97306061,1.0458880659999998,52.34482574,0.50310111,-0.0104950499,-0.013720100700000001,1.0,0.0,1.4195998909999998,0.0034096208399999996,1593005629.09367,-2.6280609473630436
12,2020/06/24/22:33:49.194072,27725,1593005629,193725347,,,0,1593005568,-74.21192169,23.07225609,1.062102079,54.05146027,0.48579424600000004,0.0032205395399999997,-0.012000331699999998,1.0,0.0,1.4195998909999998,0.00368138961,1593005629.19373,-2.5310778632030764
13,2020/06/24/22:33:49.294014,27726,1593005629,293708324,,,0,1593005568,-75.67249298,23.17338371,1.078820109,55.47893524,0.24847503,-0.0177356694,-0.0186450463,1.0,0.0,1.571699977,0.003962385,1593005629.29371,-2.4321883690122026
14,2020/06/24/22:33:49.393942,27727,1593005629,393655776,,,0,1593005568,-77.15886688,23.27508354,1.095227957,55.97775269,-0.0252137333,0.0416217335,-0.00825117901,1.0,0.0,1.216799974,0.00424756017,1593005629.39366,-2.332386988982885
15,2020/06/24/22:33:49.493966,27728,1593005629,493668317,,,0,1593005568,-79.29640198,23.41942024,1.119109273,55.82330704,0.04529578980000001,0.006572175770000001,-0.016913943,1.0,0.0,1.977299929,0.00465883501,1593005629.49367,-2.1906369188682437
16,2020/06/24/22:33:49.593980,27729,1593005629,593651533,,,0,1593005568,-80.80514526,23.5197525,1.135797143,57.79460144,0.84168154,0.00448423252,-0.014390297199999999,1.0,0.0,1.622399926,0.00494839251,1593005629.59365,-2.0918775783482073
17,2020/06/24/22:33:49.693939,27730,1593005629,693643569,,,0,1593005568,-82.07945251,23.60341454,1.150834799,59.54605484,0.41077137,0.0310627315,-0.020329983899999998,1.0,0.0,1.7744998930000002,0.0051934788899999995,1593005629.69364,-2.00895001205086
18,2020/06/24/22:33:49.793967,27731,1593005629,793677091,,,0,1593005568,-84.34936523,23.74970245,1.1804432870000001,61.66129303,0.45664966100000004,-0.0301810671,-0.0174621455,1.0,0.0,1.571699977,0.00562900957,1593005629.7936802,-1.863507587751538
19,2020/06/24/22:33:49.893945,27732,1593005629,893662691,,,0,1593005568,-86.01294708,23.85491943,1.200843215,63.21807098,0.45562785899999997,-0.027288395899999998,-0.0156265944,1.0,0.0,1.166100025,0.00594871445,1593005629.89366,-1.7583500793757667
20,2020/06/24/22:33:49.993966,27733,1593005629,993676662,,,0,1593005568,-87.1805954,23.92802048,1.214028358,64.27233124,0.446177334,-0.015817292,-0.011953257,1.0,0.0,0.912599981,0.006173012779999999,1593005629.99368,-1.684790905508731
21,2020/06/24/22:33:50.094002,27734,1593005630,93701601,,,0,1593005568,-89.57299805,24.07604408,1.239548087,66.32949829,0.428604275,0.00402706442,-0.009501416240000001,1.0,0.0,0.304199994,0.00663268846,1593005630.0937,-1.5352277478998935
22,2020/06/24/22:33:50.194020,27735,1593005630,193706512,,,0,1593005568,-91.19045258,24.17490196,1.25658381,67.65224457,0.43054050200000005,-0.00536434818,-0.00910292566,1.0,0.0,0.506999969,0.0069449069,1593005630.1937099,-1.4342097658905768
23,2020/06/24/22:33:50.294012,27736,1593005630,293706655,,,0,1593005568,-92.03956604,24.22646332,1.265535593,68.32668304,0.420338929,0.0139225889,-0.00868116878,1.0,0.0,0.45629999,0.00714744115,1593005630.29371,-1.3815387626653133
24,2020/06/24/22:33:50.394024,27737,1593005630,393709421,,,0,1593005568,-94.75415802,24.38895988,1.29487896,70.40479279,0.40604764200000004,0.00012344520699999998,-0.0393213853,1.0,0.0,4.309499741000001,0.007636646740000001,1593005630.39371,-1.2131038072172555
25,2020/06/24/22:33:50.494017,27738,1593005630,493706941,,,0,1593005568,-96.76817322,24.50520515,1.3170357940000001,71.87039185,0.407276869,-0.007192280140000001,-0.043666511799999995,1.0,0.0,3.447599888,0.008147041309999999,1593005630.49371,-1.0926276387885263
26,2020/06/24/22:33:50.594101,27739,1593005630,593764305,,,0,1593005568,-98.33621979,24.59262657,1.334266305,72.97220612,0.39694535700000005,-0.0010637326600000001,-0.0496899746,1.0,0.0,2.991299868,0.008271764959999999,1593005630.59376,-1.0008281210191063
27,2020/06/24/22:33:50.694120,27740,1593005630,693778276,,,0,1593005568,-100.670517,24.71750259,1.3590058090000001,74.54660797,0.38769602799999997,-0.0043699611,-0.0629424229,1.0,0.0,4.81649971,0.00876403321,1593005630.6937802,-0.8689005209647953
28,2020/06/24/22:33:50.793994,27741,1593005630,793699264,,,0,1593005568,-103.2446594,24.8460083,1.3846515419999998,76.1999054,0.36973410799999995,-0.00648205355,-0.098898612,1.0,0.0,8.923199654,0.00925821066,1593005630.7937,-0.7310786499471639
29,2020/06/24/22:33:50.894010,27742,1593005630,893696069,,,0,1593005568,-104.6491852,24.91037369,1.39815855,77.06868744,0.369855851,-0.005360252220000001,-0.11271213,1.0,0.0,9.379500389,0.00952803902,1593005630.8937,-0.6610176718591081
30,2020/06/24/22:33:50.994207,27743,1593005630,993842601,,,0,1593005568,-107.1129227,25.01153183,1.421344161,78.55403137,0.368909985,-0.005804763639999999,-0.12494972300000001,1.0,0.0,8.365499496,0.010001176,1593005630.99384,-0.5487607056822059
31,2020/06/24/22:33:51.094040,27744,1593005631,93722105,,,0,1593005568,-110.0245972,25.11086464,1.4484986069999999,80.24036407,0.36005187,0.001619566,-0.125713125,1.0,0.0,7.250100136,0.0105602853,1593005631.09372,-0.43488157568533564
32,2020/06/24/22:33:51.194137,27745,1593005631,193753957,,,0,1593005568,-111.23361969999999,25.14581299,1.4600629809999999,80.92462158,0.357596785,0.0184310302,-0.127793401,1.0,0.0,7.097999572999999,0.0107926801,1593005631.19375,-0.3930919012141905
33,2020/06/24/22:33:51.294105,27746,1593005631,293762207,,,0,1593005568,-113.8197021,25.20852089,1.485909104,82.347229,0.351070076,0.0191075802,-0.130063251,1.0,0.0,7.047299862000001,0.0112900576,1593005631.29376,-0.31591873739000775
34,2020/06/24/22:33:51.393996,27747,1593005631,393695831,,,0,1593005568,-116.66028600000001,25.25902176,1.515606284,83.85732269,0.341955274,0.0160760656,-0.128691465,1.0,0.0,6.540299892,0.0118353404,1593005631.3937,-0.25045097395258104
35,2020/06/24/22:33:51.493979,27748,1593005631,493681669,,,0,1593005568,-117.9941483,25.27646065,1.5294722319999998,84.55082703,0.349272639,0.0047147302,-0.11888092800000001,1.0,0.0,6.134699821,0.0120915938,1593005631.49368,-0.22573273765140967
36,2020/06/24/22:33:51.594048,27749,1593005631,593720912,,,0,1593005568,-121.3398285,25.30399132,1.5661269430000002,86.20011902,0.323340714,0.0325103402,-0.107312188,1.0,0.0,4.81649971,0.0127344346,1593005631.59372,-0.17839932537619874
37,2020/06/24/22:33:51.693938,27750,1593005631,693661212,,,0,1593005568,-122.20437620000001,25.30761528,1.576301336,86.61873627,0.32520538600000004,0.00582416076,-0.10489410199999999,1.0,0.0,4.715099812,0.0129007054,1593005631.69366,-0.16916454331265982
38,2020/06/24/22:33:51.793956,27751,1593005631,793674707,,,0,1593005568,-125.85047150000001,25.30869675,1.620572448,88.26456451,0.31006673,0.000398426957,-0.0937836692,1.0,0.0,3.447599888,0.0136005385,1593005631.79367,-0.14019587586972113
39,2020/06/24/22:33:51.893934,27752,1593005631,893653869,,,0,1593005568,-127.9182281,25.30033684,1.64625299,88.72014618,-0.0386723503,-0.00592883164,-0.08618634189999999,1.0,0.0,2.991299868,0.0139982067,1593005631.89365,-0.12781433003392906
40,2020/06/24/22:33:51.993944,27753,1593005631,993662357,,,0,1593005568,-131.3885803,25.27462006,1.685637236,88.50806427,-0.0542788096,-0.00854706671,-0.057795878499999995,1.0,0.0,1.7744998930000002,0.0146649526,1593005631.99366,-0.1106113186253552
41,2020/06/24/22:33:52.094167,27754,1593005632,93797683,,,0,1593005696,-132.78910829999998,25.26096535,1.700217724,88.45778656,0.0693830177,-0.0206347741,-0.055843267599999996,1.0,0.0,1.977299929,0.0149345491,1593005632.0938,-0.10338834074621675
