time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/07/16/13:53:44.665486,1,1594875224,665099382,,,0,1594875264,-533.3947754,-281.8938904,-82.14412689,75.88564301,0.142373055,0.0431076735,-0.18143177,0.575800002,0,9.78509903,0.163905278,1594875224.66510
2020/07/16/13:53:44.676070,2,1594875224,675777435,,,0,1594875264,-533.6167603,-281.7722168,-82.14235687,75.95458984,0.191768125,0.0417873822,-0.190989941,0.575800002,0,9.683699608,0.163956702,1594875224.67578
2020/07/16/13:53:44.766036,3,1594875224,765741825,,,0,1594875264,-534.6196289,-281.2260132,-82.13418579,76.26422882,0.146639869,-0.0337453149,-0.161904842,0.576799989,0,9.075299263,0.164191365,1594875224.76574
2020/07/16/13:53:44.866121,4,1594875224,865816831,,,0,1594875264,-536.0796509,-280.4406433,-82.12225342,76.72058105,0.160765752,0.023286147,-0.168756276,0.578750014,0,8.416199684,0.164532274,1594875224.86582
2020/07/16/13:53:44.966084,5,1594875224,965775966,,,0,1594875264,-537.7805786,-279.5392456,-82.10721588,77.23648834,0.182914108,0.0124717569,-0.155195117,0.581650019,0,8.618999481,0.164928421,1594875224.96578
2020/07/16/13:53:45.066082,6,1594875225,65788507,,,0,1594875264,-539.9022217,-278.4342651,-82.08852386,77.87989807,0.178698793,-0.0167467501,-0.172076955,0.581650019,0,8.87250042,0.165417567,1594875225.06579
2020/07/16/13:53:45.166065,7,1594875225,165778636,,,0,1594875264,-542.4588623,-277.1302185,-82.06642151,78.62768555,0.163001999,-0.0385311209,-0.167080209,0.581650019,0,8.87250042,0.166006312,1594875225.16578
2020/07/16/13:53:45.266026,8,1594875225,265741825,,,0,1594875264,-543.2800293,-276.7176209,-82.05963898,78.86804962,0.136687249,0.024669908,-0.172989517,0.582899988,0,8.87250042,0.166195646,1594875225.26574
2020/07/16/13:53:45.366039,9,1594875225,365757226,,,0,1594875264,-545.8846436,-275.4287415,-82.03826141,79.60012817,0.145048752,0.0353192948,-0.171307385,0.581650019,0,8.87250042,0.166791961,1594875225.36576
2020/07/16/13:53:45.466025,10,1594875225,465749740,,,0,1594875264,-548.5251465,-274.1527405,-82.01641846,80.30794525,0.116340011,0.0225032903,-0.165425614,0.549399972,0,8.771100044,0.167393818,1594875225.46575
