time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/07/16/17:55:33.601971,73306,1594889733,601581811,,,0,1594889728,-73.10614014,-79.31820679,5.626828671,28.14772224,0.673548877,-0.0122766262,-0.0617868602,0.97360003,0,27.42869949,0.992992043,1594889733.60158
2020/07/16/17:55:33.611045,73307,1594889733,610893011,,,0,1594889728,-73.13813782,-79.38149261,5.626612186,28.36580276,0.677360058,-0.0124541335,-0.0603942126,0.97360003,0,27.07379913,0.993024349,1594889733.61089
2020/07/16/17:55:33.702480,73308,1594889733,702185392,,,0,1594889728,-73.323349,-79.7497406,5.625287056,29.61318016,0.708608329,-0.0162593871,-0.0693281144,0.97360003,0,25.2485981,0.993192017,1594889733.70219
2020/07/16/17:55:33.802466,73309,1594889733,802182912,,,0,1594889728,-73.58441925,-80.27442932,5.623372078,31.31397057,0.684767306,0.00017523393,-0.0767013282,0.97360003,0,23.22060013,0.993425369,1594889733.80218
2020/07/16/17:55:33.902546,73310,1594889733,902228832,,,0,1594889728,-74.01596069,-81.15606689,5.620660782,33.89403152,0.660579979,-0.00248304522,-0.0660033524,0.961650014,0,19.0632,0.993821323,1594889733.90223
2020/07/16/17:55:34.002494,73311,1594889734,2209186,,,0,1594889728,-74.60676575,-82.38597107,5.61654377,37.10293198,0.673495173,-0.0180889014,-0.0690244436,0.974099994,0,16.07189941,0.994374335,1594889734.00221
2020/07/16/17:55:34.102539,73312,1594889734,102237224,,,0,1594889728,-74.78157806,-82.75474548,5.614953995,38.02918243,0.674217761,-0.000230915844,-0.0726479739,0.987299979,0,15.41279888,0.994533002,1594889734.10224
2020/07/16/17:55:34.202558,73313,1594889734,202257871,,,0,1594889728,-75.4560318,-84.19889069,5.610547543,41.42483902,0.648086488,-0.0154351816,-0.0619569868,1,0,12.77639961,0.99516952,1594889734.20226
2020/07/16/17:55:34.302537,73314,1594889734,302241802,,,0,1594889728,-75.94548798,-85.26483154,5.607877254,43.65704727,0.612777114,0.00850551762,-0.0703877956,1,0,12.21870041,0.995635211,1594889734.30224
2020/07/16/17:55:34.402536,73315,1594889734,402238130,,,0,1594889728,-76.48516846,-86.45715332,5.606744766,45.85429764,0.538295448,0.00379972067,-0.0690041929,0.88440001,0,10.74839973,0.996152103,1594889734.40224
