time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/07/16/17:23:13.217283,56471,1594887793,216900110,,,0,1594887808,-155.5674133,170.8933411,-7.201409817,7.803391457,0.140460953,-0.00383275887,0.105551772,1,0,-371.4281921,0.0428709798,1594887793.21690
2020/07/16/17:23:13.225400,56472,1594887793,225124597,,,0,1594887808,-155.5797729,170.8780823,-7.201094627,7.85554266,0.129700869,-0.00467145769,0.109091885,1,0,-370.8197632,0.0428762138,1594887793.22512
2020/07/16/17:23:13.317889,56473,1594887793,317567586,,,0,1594887808,-155.6434937,170.8008728,-7.199522495,8.113325119,0.132732645,-0.00367511227,0.107133575,1,0,-367.7270813,0.0428858586,1594887793.31757
2020/07/16/17:23:13.417873,56474,1594887793,417553663,,,0,1594887808,-155.7521057,170.674057,-7.197010517,8.535161018,0.144611925,-0.00368668232,0.120018899,1,0,-364.3808899,0.0429045931,1594887793.41755
2020/07/16/17:23:13.517902,56475,1594887793,517580986,,,0,1594887808,-155.9056549,170.5048065,-7.193629742,9.112235069,0.148882404,-0.000769539038,0.117410831,1,0,-354.6464844,0.042934902,1594887793.51758
2020/07/16/17:23:13.617891,56476,1594887793,617569446,,,0,1594887808,-156.1452332,170.2584991,-7.188299656,10.02949715,0.21075581,0.00408409582,0.104041897,1,0,-319.4606934,0.0429743044,1594887793.61757
2020/07/16/17:23:13.717880,56477,1594887793,717560052,,,0,1594887808,-156.3827972,170.0246124,-7.182695866,10.9772768,0.237540424,0.000506566896,0.0524843857,1,0,-269.2677002,0.0430095717,1594887793.71756
2020/07/16/17:23:13.817890,56478,1594887793,817562818,,,0,1594887808,-156.5522766,169.8591461,-7.178547859,11.69098282,0.271157295,0.0114963241,0.028475225,0.961149991,0,-231.6483002,0.0430357456,1594887793.81756
2020/07/16/17:23:13.917880,56479,1594887793,917558431,,,0,1594887808,-156.8063202,169.6091461,-7.171669006,12.64057636,0.231142074,0.000625354704,0.00180332363,0.692849994,0,-176.9936981,0.0430730842,1594887793.91756
2020/07/16/17:23:14.017865,56480,1594887794,17549514,,,0,1594887808,-156.9972382,169.4191742,-7.166452408,13.12791634,0.139269844,-0.00548775122,-0.00430915505,0.483649999,0,-144.7992096,0.0431028455,1594887794.01755
2020/07/16/17:23:14.117898,56481,1594887794,117561817,,,0,1594887808,-157.3470612,169.0702057,-7.157572269,13.80538654,0.172976226,-0.000205834222,0.023820281,0.646399975,0,-103.1238022,0.0431539789,1594887794.11756
2020/07/16/17:23:14.217870,56482,1594887794,217550516,,,0,1594887808,-157.6166687,168.8016052,-7.150506496,14.75843048,0.376420975,0.0121018132,-0.00508512557,1,0,-63.07079697,0.0431984998,1594887794.21755
2020/07/16/17:23:14.317864,56483,1594887794,317548751,,,0,1594887808,-157.9066162,168.507843,-7.142003536,16.10953522,0.431381583,0.00574128143,-0.0664370358,1,0,-24.8429985,0.0432442874,1594887794.31755
2020/07/16/17:23:14.417881,56484,1594887794,417567253,,,0,1594887808,-158.2187347,168.1804504,-7.132209301,17.71409416,0.513819218,0.00930680055,-0.11659196,1,0,12.06659889,0.0432997458,1594887794.41757
2020/07/16/17:23:14.517860,56485,1594887794,517560482,,,0,1594887808,-158.6867371,167.6607361,-7.115924358,20.3359623,0.593134701,-0.00773118436,-0.168977559,1,0,56.78399658,0.0433798917,1594887794.51756
2020/07/16/17:23:14.617856,56486,1594887794,617555618,,,0,1594887808,-159.0901184,167.1812286,-7.101640224,22.2493515,0.215672225,-0.00971144158,-0.233383745,0.294200003,0,90.24599457,0.0434546955,1594887794.61756
2020/07/16/17:23:14.717847,56487,1594887794,717549800,,,0,1594887808,-159.4462128,166.7252655,-7.088681698,22.32017708,-0.141258806,0.00945706852,-0.284585088,0,0,109.1063995,0.0435305201,1594887794.71755
2020/07/16/17:23:14.817844,56488,1594887794,817527532,,,0,1594887808,-159.7584229,166.2901306,-7.075992107,22.01474953,-0.130924284,-0.00717293471,-0.280063659,0,0,124.8233948,0.0435966738,1594887794.81753
2020/07/16/17:23:14.918055,56489,1594887794,917680501,,,0,1594887808,-160.1044464,165.7573242,-7.062623024,21.59905243,-0.124597386,-0.0241957549,-0.303052545,0,0,140.9459991,0.0436803959,1594887794.91768
2020/07/16/17:23:15.017979,56490,1594887795,17626047,,,0,1594887808,-160.4173126,165.218689,-7.049870491,21.16970444,-0.129589185,0.0313971862,-0.227958694,0,0,150.2747955,0.0437725149,1594887795.01763
2020/07/16/17:23:15.117917,56491,1594887795,117579698,,,0,1594887808,-160.6543732,164.7703094,-7.037003517,20.85731506,-0.120310247,0.0380051285,-0.264999926,0,0,156.5615845,0.0438452959,1594887795.11758
2020/07/16/17:23:15.217898,56492,1594887795,217566490,,,0,1594887808,-160.8855743,164.2884064,-7.021185875,20.57587051,-0.0990856364,0.0215517934,-0.227866635,0,0,154.2294006,0.0439259782,1594887795.21757
2020/07/16/17:23:15.317876,56493,1594887795,317568063,,,0,1594887808,-161.1761475,163.6006927,-6.998832703,20.18338776,-0.107229561,-0.00587539561,-0.222683236,0,0,154.4322052,0.0440422967,1594887795.31757
2020/07/16/17:23:15.417892,56494,1594887795,417564153,,,0,1594887808,-161.2994537,163.2719269,-6.989541531,19.99287415,-0.0996299684,-0.00943883229,-0.210833862,0,0,154.5335999,0.0440949835,1594887795.41756
2020/07/16/17:23:15.517948,56495,1594887795,517600774,,,0,1594887808,-161.5287781,162.5843506,-6.970917225,19.59532738,-0.103969887,0.00993706565,-0.185152844,0,0,155.1419983,0.0442125835,1594887795.51760
2020/07/16/17:23:15.617959,56496,1594887795,617606163,,,0,1594887808,-161.6769714,162.0709534,-6.956748009,19.30889893,-0.109314717,-0.00488390448,-0.203404263,0,0,156.1560059,0.0443016738,1594887795.61761
2020/07/16/17:23:15.717944,56497,1594887795,717600584,,,0,1594887808,-161.7412262,161.8228455,-6.950349808,19.17411423,-0.097041145,-0.0104794418,-0.200029269,0,0,155.8517914,0.0443393476,1594887795.71760
2020/07/16/17:23:15.817965,56498,1594887795,817603588,,,0,1594887808,-161.8885498,161.1590271,-6.934947491,18.82084656,-0.0922292992,0.00587785896,-0.205190748,0,0,155.0405884,0.0444521271,1594887795.81760
2020/07/16/17:23:15.917961,56499,1594887795,917600870,,,0,1594887808,-161.9869995,160.5923157,-6.922667027,18.52685547,-0.0934856236,-0.00185938925,-0.169322222,0,0,155.1419983,0.0445468388,1594887795.91760
2020/07/16/17:23:16.017968,56500,1594887796,17607450,,,0,1594887808,-162.0508118,160.1216125,-6.913444996,18.28198814,-0.0814987719,-0.0049540312,-0.173466757,0,0,155.2433929,0.0446257629,1594887796.01761
2020/07/16/17:23:16.117978,56501,1594887796,117615222,,,0,1594887808,-162.097168,159.6701355,-6.905723572,18.0556221,-0.104190506,-0.00653579133,-0.168082669,0,0,155.2433929,0.0447072498,1594887796.11762
2020/07/16/17:23:16.217961,56502,1594887796,217603445,,,0,1594887808,-162.1378174,159.0304413,-6.896998882,17.75158691,-0.0840057284,-0.00726603391,-0.170271099,0,0,155.2433929,0.0448139496,1594887796.21760
2020/07/16/17:23:16.317982,56503,1594887796,317616462,,,0,1594887808,-162.1490479,158.5311737,-6.891879559,17.52333641,-0.077273421,-0.00157449453,-0.164978161,0,0,155.2433929,0.0448995121,1594887796.31762
2020/07/16/17:23:16.417971,56504,1594887796,417605638,,,0,1594887808,-162.1442566,158.0958862,-6.888215065,17.32763481,-0.0822970346,-0.0017790203,-0.15497528,0,0,155.2433929,0.0449766815,1594887796.41761
2020/07/16/17:23:16.517968,56505,1594887796,517604827,,,0,1594887808,-162.1229706,157.6087952,-6.885004997,17.11255646,-0.0689143538,-0.00378041202,-0.147373721,0,0,155.1419983,0.0450594574,1594887796.51760
2020/07/16/17:23:16.617977,56506,1594887796,617613315,,,0,1594887808,-162.0932617,157.2128754,-6.883168221,16.94241524,-0.0784549341,-0.00303927786,-0.147670776,0,0,154.4322052,0.045132041,1594887796.61761
2020/07/16/17:23:16.717972,56507,1594887796,717612743,,,0,1594887808,-162.0433655,156.7385254,-6.881923676,16.74720955,-0.063952826,-0.00608403282,-0.121517383,0,0,144.089386,0.0452168658,1594887796.71761
2020/07/16/17:23:16.817972,56508,1594887796,817610502,,,0,1594887808,-161.987915,156.3117676,-6.881689548,16.59054184,-0.0476540253,0.00258920738,-0.0554401428,0,0,121.0715942,0.0452876799,1594887796.81761
2020/07/16/17:23:16.918046,56509,1594887796,917674541,,,0,1594887808,-161.9043579,155.725647,-6.881480217,16.60025597,0.088134788,0.002116316,0.00491609704,0.28245002,0,86.59560394,0.0453918688,1594887796.91767
2020/07/16/17:23:17.017920,56510,1594887797,17608165,,,0,1594887808,-161.8606567,155.4219818,-6.881210804,16.86356163,0.148514256,0.00479539763,0.00848921575,0.532299995,0,68.64779663,0.045444604,1594887797.01761
2020/07/16/17:23:17.117910,56511,1594887797,117600679,,,0,1594887808,-161.7763519,154.8201599,-6.880061626,17.93678474,0.361891836,0.00656484812,0.0289553497,0.906149983,0,31.43400002,0.0455467701,1594887797.11760
2020/07/16/17:23:17.217885,56512,1594887797,217572927,,,0,1594887808,-161.7071686,154.2940979,-6.878142357,19.47286797,0.486247391,0.00601383578,0.0446955636,1,0,6.388199806,0.0456412956,1594887797.21757
2020/07/16/17:23:17.317920,56513,1594887797,317587137,,,0,1594887808,-161.6492615,153.8236084,-6.875414848,21.02478027,0.550019145,0.0399282724,0.0394106209,1,0,-0.608399987,0.0457230881,1594887797.31759
2020/07/16/17:23:17.417895,56514,1594887797,417585611,,,0,1594887808,-161.5783539,153.2201996,-6.869166374,23.00949478,0.583852828,-0.0119527662,0.0325197019,1,0,-6.185400009,0.0458290912,1594887797.41759
2020/07/16/17:23:17.517989,56515,1594887797,517616033,,,0,1594887808,-161.4810181,152.3475189,-6.860871792,25.83195686,0.646366596,-0.026900487,0.0321670771,1,0,-12.06659889,0.045981735,1594887797.51762
2020/07/16/17:23:17.617980,56516,1594887797,617609500,,,0,1594887808,-161.3997345,151.5835419,-6.855990887,28.23545647,0.702035069,-0.0259148777,0.0108538046,1,0,-9.024600029,0.04611044,1594887797.61761
2020/07/16/17:23:17.717965,56517,1594887797,717598438,,,0,1594887808,-161.3618011,151.2241974,-6.854129791,29.35233307,0.696642816,0.019188052,0.00472545624,1,0,-6.895199776,0.0461772159,1594887797.71760
2020/07/16/17:23:17.817971,56518,1594887797,817605733,,,0,1594887808,-161.2447052,150.1163483,-6.846743584,32.58255005,0.679196894,-0.0192467384,0.0263863914,1,0,-4.765799999,0.0463660993,1594887797.81761
2020/07/16/17:23:17.917987,56519,1594887797,917617082,,,0,1594887808,-161.1268921,148.9843903,-6.840592384,35.47830582,0.688883007,-0.023935955,0.000351712108,1,0,-3.346199989,0.0465654582,1594887797.91762
2020/07/16/17:23:18.017964,56520,1594887798,17596244,,,0,1594887808,-161.0897369,148.6261444,-6.839103699,36.34445572,0.679518759,-0.0148775252,-0.0110229477,1,0,-1.318199992,0.0466253757,1594887798.01760
2020/07/16/17:23:18.117976,56521,1594887798,117607593,,,0,1594887808,-160.9477692,147.2719727,-6.834095478,39.43782806,0.675058544,-0.0289188698,-0.00941254199,1,0,3.447599888,0.0468650572,1594887798.11761
2020/07/16/17:23:18.217979,56522,1594887798,217615127,,,0,1594887808,-160.7931366,145.8090973,-6.830684662,42.42471695,0.645271361,-0.040609017,-0.0215730742,1,0,2.078700066,0.0471226275,1594887798.21762
2020/07/16/17:23:18.317971,56523,1594887798,317607879,,,0,1594887808,-160.6890564,144.8373566,-6.830349445,44.22796249,0.623662114,-0.0479752347,-0.0152633935,1,0,2.078700066,0.0472868793,1594887798.31761
2020/07/16/17:23:18.417978,56524,1594887798,417610406,,,0,1594887808,-160.550415,143.5580292,-6.829493523,46.35585403,0.550553679,-0.000483494252,-0.00268097594,1,0,2.991299868,0.0475131348,1594887798.41761
2020/07/16/17:23:18.517922,56525,1594887798,517609834,,,0,1594887808,-160.4035492,142.2230072,-6.827838421,48.13558197,0.252993733,-0.00833670236,-0.0320092961,0.411150008,0,2.534999847,0.0477447659,1594887798.51761
2020/07/16/17:23:18.617990,56526,1594887798,617622375,,,0,1594887808,-160.2105865,140.5067902,-6.823735714,48.07203674,-0.020396322,0.00398317771,-0.00524825789,0,0,1.825199962,0.0480414778,1594887798.61762
2020/07/16/17:23:18.717968,56527,1594887798,717604398,,,0,1594887808,-160.0707855,139.2744904,-6.818421364,47.95407486,-0.0338090286,0.00670153787,-0.0192237645,0,0,1.977299929,0.0482578389,1594887798.71760
