time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/07/16/16:11:11.654331,36998,1594883471,653964519,,,0,1594883456,-91.27371979,0.733139217,1.078757524,0.00143878465,0,0,0,1,0,-7.706399441,0.00709209777,1594883471.65396
2020/07/16/16:11:11.663098,36999,1594883471,662827730,,,0,1594883456,-91.27371979,0.733139753,1.078757167,0.00114166504,0,0,0,1,0,-7.807799816,0.00709209777,1594883471.66283
2020/07/16/16:11:11.754968,37000,1594883471,754667520,,,0,1594883456,-91.27371979,0.733142853,1.078754425,0.000702939753,0,0,0,1,0,-8.111999512,0.00709209777,1594883471.75467
2020/07/16/16:11:11.854988,37001,1594883471,854668617,,,0,1594883456,-91.27371979,0.733150005,1.078750014,0.00164201006,0,0,0,1,0,-9.125999451,0.00709386403,1594883471.85467
2020/07/16/16:11:11.954956,37002,1594883471,954675912,,,0,1594883456,-91.27371979,0.733154356,1.078745127,0.00213474804,0,0,0,0.685750008,0,-9.430199623,0.00709386403,1594883471.95468
2020/07/16/16:11:12.055048,37003,1594883472,54720401,,,0,1594883456,-91.27371979,0.733152747,1.078737617,0.00181041146,0,0,0,0,0,-9.024600029,0.00709209777,1594883472.05472
2020/07/16/16:11:12.154921,37004,1594883472,154651165,,,0,1594883456,-91.27371979,0.733154237,1.078735352,0.000780041562,0,0,0,0,0,-9.227399826,0.00709386403,1594883472.15465
2020/07/16/16:11:12.254978,37005,1594883472,254695177,,,0,1594883456,-91.27596283,0.733166933,1.078756809,0.477756143,0.685593009,0.0153980656,0.00221229857,1,0,-10.74839973,0.00709209777,1594883472.25470
2020/07/16/16:11:12.354929,37006,1594883472,354657173,,,0,1594883456,-91.31456757,0.733247757,1.080304503,2.582309246,0.916021347,0.0348377861,0.00766991079,1,0,-13.79039955,0.00710416725,1594883472.35466
2020/07/16/16:11:12.454932,37007,1594883472,454650163,,,0,1594883456,-91.43247986,0.733623624,1.086254716,5.166165829,0.544209063,-0.00172214839,0.0151694361,1,0,-27.17519951,0.00712830666,1594883472.45465
2020/07/16/16:11:12.554934,37008,1594883472,554659128,,,0,1594883456,-91.61227417,0.734968185,1.092525721,7.368356705,0.643998325,-0.0551975518,0.0205963198,1,0,-49.07759857,0.00715774437,1594883472.55466
2020/07/16/16:11:12.654931,37009,1594883472,654647588,,,0,1594883456,-91.83496094,0.737868071,1.095631242,9.696541786,0.745491385,-0.0361305401,0.0330018625,1,0,-69.05339813,0.0071886545,1594883472.65465
2020/07/16/16:11:12.754940,37010,1594883472,754660367,,,0,1594883456,-92.30953979,0.748720348,1.099407911,13.88210201,0.876981258,-0.0078834733,0.0566427074,1,0,-89.84039307,0.00722280284,1594883472.75466
2020/07/16/16:11:12.855069,37011,1594883472,854729890,,,0,1594883456,-92.46800995,0.753636956,1.100963712,15.11105347,0.903240442,-0.00630533136,0.0613740347,1,0,-91.25999451,0.00722280284,1594883472.85473
2020/07/16/16:11:12.955038,37012,1594883472,954726696,,,0,1594883456,-93.19013214,0.78249526,1.109985232,20.05714798,0.98576349,-0.0165138207,0.0747866705,1,0,-90.6516037,0.00722280284,1594883472.95473
2020/07/16/16:11:13.054876,37013,1594883473,54618358,,,0,1594883456,-93.39826202,0.792509913,1.112889767,21.30808449,0.979438186,-0.0208495557,0.0814429149,1,0,-90.44879913,0.00722280284,1594883473.05462
2020/07/16/16:11:13.154946,37014,1594883473,154658555,,,0,1594883456,-94.39914703,0.850737453,1.126731038,26.49487495,0.957657695,-0.0304669589,0.164612293,1,0,-89.63759613,0.00765649695,1594883473.15466
2020/07/16/16:11:13.254986,37015,1594883473,254688262,,,0,1594883456,-95.02579498,0.899127722,1.135001659,29.08950996,0.883857965,-0.0237401389,0.229721189,1,0,-87.20399475,0.00776206423,1594883473.25469
2020/07/16/16:11:13.354955,37016,1594883473,354663133,,,0,1594883456,-96.24581146,1.030813456,1.151151299,33.18179321,0.713808596,-0.0382884592,0.275564134,1,0,-67.53239441,0.00814704131,1594883473.35466
2020/07/16/16:11:13.454915,37017,1594883473,454637289,,,0,1594883456,-96.77896881,1.102969408,1.157619834,34.5593338,0.674803019,-0.0363315903,0.231815636,1,0,-55.56719971,0.00814704131,1594883473.45464
2020/07/16/16:11:13.554935,37018,1594883473,554651975,,,0,1594883456,-98.28104401,1.336719632,1.173729301,38.18352127,0.679850221,-0.0123428395,0.153263092,1,0,-37.11239624,0.00838850159,1594883473.55465
2020/07/16/16:11:13.654907,37019,1594883473,654623985,,,0,1594883456,-98.69493866,1.406860232,1.178091049,39.10687256,0.656152725,-0.00675046211,0.142231315,1,0,-32.34659958,0.00848066993,1594883473.65462
2020/07/16/16:11:13.754955,37020,1594883473,754668474,,,0,1594883456,-100.2557526,1.686588764,1.195239186,41.20629883,0.0384688415,-0.00400813529,0.0864585191,0,0,-17.44079781,0.00878093857,1594883473.75467
2020/07/16/16:11:13.854970,37021,1594883473,854677915,,,0,1594883456,-101.3005142,1.883612275,1.206394434,41.11259079,-0.0426978543,-0.0139413951,0.0682416931,0,0,-13.28340054,0.00898141135,1594883473.85468
2020/07/16/16:11:13.954952,37022,1594883473,954648256,,,0,1594883456,-102.3748398,2.092260838,1.216969371,40.98043442,-0.0456733815,-0.00432203896,0.0479950309,0,0,-9.125999451,0.009185615,1594883473.95465
2020/07/16/16:11:14.054906,37023,1594883474,54615259,,,0,1594883456,-103.6116486,2.337785482,1.229103327,40.82828903,-0.0319664069,0.0124687543,0.0279452521,0.301250011,0,-4.867199898,0.00942617282,1594883474.05462
2020/07/16/16:11:14.154944,37024,1594883474,154631376,,,0,1594883456,-104.548027,2.526060343,1.238871098,41.33283997,0.624309242,0.00854122825,0.0231445804,1,0,-3.85319972,0.009607438,1594883474.15463
2020/07/16/16:11:14.254960,37025,1594883474,254673957,,,0,1594883456,-105.8333588,2.787056684,1.253039241,43.26551056,0.380601138,0.0246018134,0.0269413963,1,0,-4.461599827,0.00985369831,1594883474.25467
2020/07/16/16:11:14.354972,37026,1594883474,354662895,,,0,1594883456,-106.8369446,2.993001223,1.265456319,44.45148849,0.41139555,0.00165744382,0.0321654603,1,0,-4.360199451,0.0100461319,1594883474.35466
2020/07/16/16:11:14.454956,37027,1594883474,454652786,,,0,1594883456,-107.9807129,3.230167627,1.278895259,45.87768173,0.441868931,-0.00366472034,0.0221885592,1,0,-4.25880003,0.010265125,1594883474.45465
2020/07/16/16:11:14.554950,37028,1594883474,554663181,,,0,1594883456,-109.3941269,3.525921583,1.293714523,47.67610931,0.470827401,-0.00596229685,0.026115045,1,0,-2.636399984,0.0105390241,1594883474.55466
2020/07/16/16:11:14.654950,37029,1594883474,654645204,,,0,1594883456,-110.7420349,3.81018877,1.306449413,49.41805267,0.476573855,0.0129159978,0.00695499778,1,0,-1.115399957,0.0107979206,1594883474.65465
2020/07/16/16:11:14.754954,37030,1594883474,754650592,,,0,1594883456,-112.5575867,4.194556236,1.323599935,51.65153122,0.476615041,-0.00259501673,0.00677840412,1,0,-0.506999969,0.0111475755,1594883474.75465
2020/07/16/16:11:14.855136,37031,1594883474,854775667,,,0,1594883456,-113.8408508,4.466959476,1.335711241,53.14912033,0.467622161,-0.00180454203,0.00488680601,1,0,-0.202799991,0.0113946488,1594883474.85478
2020/07/16/16:11:14.955065,37032,1594883474,954727888,,,0,1594883456,-114.8050232,4.671830177,1.344881058,54.2353363,0.466974109,-0.00265515083,-0.00128998607,1,0,0.45629999,0.0115822395,1594883474.95473
2020/07/16/16:11:15.055001,37033,1594883475,54701328,,,0,1594883456,-116.7453766,5.083968163,1.363422751,56.33576965,0.463665545,0.00190077734,-0.00484456122,1,0,0.912599981,0.0119541893,1594883475.05470
2020/07/16/16:11:15.154932,37034,1594883475,154644012,,,0,1594883456,-117.6262207,5.270822525,1.372028947,57.26325607,0.463056535,0.00415855879,-0.0110944435,1,0,1.774499893,0.0121255592,1594883475.15464
2020/07/16/16:11:15.254987,37035,1594883475,254685401,,,0,1594883456,-119.6733246,5.70291853,1.392676234,59.37243652,0.46425879,0.00499658845,-0.0505550839,1,0,7.959899902,0.0125205982,1594883475.25469
2020/07/16/16:11:15.354947,37036,1594883475,354659795,,,0,1594883456,-121.1960449,6.019075394,1.408570409,60.88767242,0.455965966,-0.00215784018,-0.103621289,1,0,14.80439949,0.0128150936,1594883475.35466
2020/07/16/16:11:15.454949,37037,1594883475,454662322,,,0,1594883456,-123.0659027,6.394340515,1.428198457,62.67625809,0.4546583,-0.0122475009,-0.186255634,1,0,24.48809814,0.0131743159,1594883475.45466
2020/07/16/16:11:15.554952,37038,1594883475,554667949,,,0,1594883456,-124.4668732,6.661108017,1.442422152,63.95225906,0.440358847,-0.0135519486,-0.258566976,1,0,31.73820114,0.0134455506,1594883475.55467
2020/07/16/16:11:15.654918,37039,1594883475,654645204,,,0,1594883456,-126.9791565,7.095826626,1.466726184,66.09879303,0.421849787,-0.0144370198,-0.35051477,1,0,36.60540009,0.0139301065,1594883475.65465
2020/07/16/16:11:15.754902,37040,1594883475,754628419,,,0,1594883456,-128.2977142,7.297882557,1.479048133,67.16721344,0.420491099,-0.0109922849,-0.373594195,1,0,35.18579864,0.0141851893,1594883475.75463
2020/07/16/16:11:15.854944,37041,1594883475,854660034,,,0,1594883456,-129.6964874,7.491584301,1.492228031,68.26869202,0.398328125,0.00976211019,-0.39254427,1,0,33.7661972,0.0144555345,1594883475.85466
2020/07/16/16:11:15.954942,37042,1594883475,954668045,,,0,1594883456,-132.3355408,7.798989296,1.519258738,70.23054504,0.401163578,0.00753412815,-0.395618618,1,0,30.11579895,0.0149643039,1594883475.95467
2020/07/16/16:11:16.054962,37043,1594883476,54675340,,,0,1594883456,-133.4496002,7.906811714,1.531440973,71.02700043,0.39698863,-0.00539108878,-0.381215334,1,0,27.17519951,0.0151788145,1594883476.05468
2020/07/16/16:11:16.154983,37044,1594883476,154652595,,,0,1594883456,-136.1979675,8.122560501,1.561616898,72.39026642,0.102864474,-0.0213055164,-0.340442002,0.054700017,0,19.16460037,0.0157100428,1594883476.15465
2020/07/16/16:11:16.255012,37045,1594883476,254676580,,,0,1594883456,-138.2423553,8.242362022,1.582407117,72.17376709,-0.0415213183,-0.0212034434,-0.259777874,0,0,11.30609989,0.0161047541,1594883476.25468
2020/07/16/16:11:16.354962,37046,1594883476,354655742,,,0,1594883456,-139.382843,8.297160149,1.593239069,72.07511902,-0.0491492786,-0.0125146341,-0.249082029,0,0,11.15400028,0.0163257774,1594883476.35466
2020/07/16/16:11:16.455066,37047,1594883476,454716682,,,0,1594883456,-141.9592896,8.391633987,1.617409706,71.84792328,-0.0447021648,0.00726487115,-0.241030887,0.431650013,0,12.57359982,0.0168229993,1594883476.45472
2020/07/16/16:11:16.554980,37048,1594883476,554666996,,,0,1594883456,-143.8770905,8.436338425,1.636404157,72.36743164,0.559880495,0.0255523995,-0.194038093,1,0,14.09459972,0.0171921384,1594883476.55467
2020/07/16/16:11:16.654960,37049,1594883476,654650449,,,0,1594883456,-146.1916809,8.462238312,1.661508441,73.58758545,0.271621972,0.0131325219,-0.245807663,1,0,17.44079781,0.0176410303,1594883476.65465
2020/07/16/16:11:16.754947,37050,1594883476,754642009,,,0,1594883456,-147.7332306,8.462116241,1.679235816,74.32196808,0.277342468,-0.0378786586,-0.231671348,1,0,15.71700001,0.0179393217,1594883476.75464
2020/07/16/16:11:16.855050,37051,1594883476,854727268,,,0,1594883456,-150.7388153,8.424985886,1.705775857,75.90812683,0.327233702,-0.16551958,-0.224975765,1,0,14.09459972,0.0185203589,1594883476.85473
2020/07/16/16:11:16.954941,37052,1594883476,954670906,,,0,1594883456,-152.5862274,8.380260468,1.710409999,76.92360687,0.328810394,-0.108870655,-0.172739357,1,0,10.95119953,0.0188768972,1594883476.95467
2020/07/16/16:11:17.054965,37053,1594883477,54666042,,,0,1594883456,-153.6159058,8.349588394,1.709944248,77.48869324,0.332936436,-0.0366154499,-0.152988121,1,0,7.706399441,0.0190762691,1594883477.05467
2020/07/16/16:11:17.154926,37054,1594883477,154643535,,,0,1594883456,-156.8143005,8.235046387,1.71785152,79.12316132,0.308130741,0.189946041,-0.0938924626,1,0,-2.534999847,0.0196942855,1594883477.15464
2020/07/16/16:11:17.254956,37055,1594883477,254660129,,,0,1594883456,-159.0045319,8.144859314,1.751068592,80.23873138,0.351202011,0.147904336,0.0101204626,1,0,-9.024600029,0.0201180913,1594883477.25466
2020/07/16/16:11:17.354931,37056,1594883477,354640483,,,0,1594883456,-161.4292755,8.046245575,1.801967621,81.47294617,0.32784912,-0.121998996,0.128587782,1,0,-12.57359982,0.020587692,1594883477.35464
2020/07/16/16:11:17.454902,37057,1594883477,454622983,,,0,1594883456,-163.2038116,7.98268652,1.833264589,82.36727905,0.325732291,-0.0921025872,0.163433522,1,0,-12.16800022,0.0209314153,1594883477.45462
2020/07/16/16:11:17.554935,37058,1594883477,554652690,,,0,1594883456,-165.6236877,7.911578178,1.868871212,83.55850983,0.334418923,0.017433282,0.162927508,1,0,-9.734399796,0.0213999152,1594883477.55465
2020/07/16/16:11:17.654913,37059,1594883477,654633998,,,0,1594883456,-168.6442871,7.846744061,1.916595101,84.98240662,0.300629348,0.0168715399,0.173089609,1,0,-8.111999512,0.0219840445,1594883477.65463
2020/07/16/16:11:17.754905,37060,1594883477,754624605,,,0,1594883456,-170.7105408,7.817731857,1.950820923,85.97050476,0.327309132,-0.0739333034,0.161837623,1,0,-8.51760006,0.0223846212,1594883477.75462
2020/07/16/16:11:17.854917,37061,1594883477,854641675,,,0,1594883456,-172.5112762,7.802387238,1.975845218,86.8234024,0.326007485,-0.140366271,0.144711271,1,0,-7.909199715,0.0227321908,1594883477.85464
2020/07/16/16:11:17.954931,37062,1594883477,954651832,,,0,1594883456,-175.0622864,7.79442215,2.00224781,88.01152039,0.331433028,-0.0103338175,0.125089258,1,0,-5.779799461,0.023224188,1594883477.95465
2020/07/16/16:11:18.054952,37063,1594883478,54662704,,,0,1594883456,-178.0944824,7.802364826,2.033547401,89.38851929,0.31383273,0.0355125926,0.106479757,1,0,-4.360199451,0.0238079373,1594883478.05466
2020/07/16/16:11:18.154912,37064,1594883478,154630422,,,0,1594883456,-180.4934845,7.819748878,2.062811375,90.45271301,0.316123456,0.0351334363,0.0950901508,1,0,-3.75180006,0.0242737941,1594883478.15463
2020/07/16/16:11:18.254982,37065,1594883478,254683494,,,0,1594883456,-181.9311523,7.834279537,2.082119465,91.07714844,0.315739989,0.0248299204,0.0920820385,1,0,-3.548999786,0.0245491397,1594883478.25468
2020/07/16/16:11:18.354927,37066,1594883478,354645252,,,0,1594883456,-185.2981415,7.87915659,2.12957263,92.51135254,0.313049138,-0.00803450961,0.0700375661,1,0,-2.636399984,0.0251983441,1594883478.35465
2020/07/16/16:11:18.454905,37067,1594883478,454629182,,,0,1594883456,-188.4824066,7.932303429,2.173999786,93.82859802,0.304784745,-0.00802684855,0.0349693336,1,0,0.253499985,0.0258135498,1594883478.45463
2020/07/16/16:11:18.554938,37068,1594883478,554655790,,,0,1594883456,-190.9986877,7.978024006,2.20889926,94.84333801,0.288340002,0.0208546855,0.00614712201,1,0,2.889899731,0.0262979716,1594883478.55466
2020/07/16/16:11:18.654916,37069,1594883478,654634952,,,0,1594883456,-193.7814636,8.028639793,2.250643492,95.93122864,0.291608572,0.0388986804,-0.032054387,1,0,3.650399923,0.0268344972,1594883478.65464
2020/07/16/16:11:18.754937,37070,1594883478,754647731,,,0,1594883456,-195.3053741,8.054857254,2.275735855,96.52219391,0.282346696,0.112306938,-0.0926538259,1,0,4.917899609,0.0271270517,1594883478.75465
2020/07/16/16:11:18.855059,37071,1594883478,854730606,,,0,1594883456,-198.624588,8.100073814,2.342015028,97.73180389,0.278469026,0.125128716,-0.144145489,1,0,7.300799847,0.0277671535,1594883478.85473
2020/07/16/16:11:18.955038,37072,1594883478,954720020,,,0,1594883456,-201.2436829,8.121925354,2.406831503,98.6759491,0.272099376,0.035863176,-0.110349372,1,0,5.830500126,0.0282722656,1594883478.95472
2020/07/16/16:11:19.054961,37073,1594883479,54674148,,,0,1594883456,-204.1370087,8.134374619,2.483343363,99.69200897,0.256970346,0.138934627,-0.0856786668,1,0,5.678399563,0.0288309753,1594883479.05467
2020/07/16/16:11:19.154943,37074,1594883479,154664516,,,0,1594883456,-206.5555878,8.135746002,2.553271055,100.5006638,0.275741488,0.0978707075,-0.140518218,1,0,5.475599766,0.0292971358,1594883479.15466
2020/07/16/16:11:19.254976,37075,1594883479,254684925,,,0,1594883456,-209.1625519,8.124785423,2.633703947,101.3424072,0.260624915,0.0150837963,-0.195589617,1,0,5.424899578,0.0298013072,1594883479.25468
2020/07/16/16:11:19.354962,37076,1594883479,354671478,,,0,1594883456,-212.9850616,8.082324982,2.759376764,102.5678711,0.259505242,0.0153892916,-0.107298419,1,0,2.484300137,0.0305390377,1594883479.35467
2020/07/16/16:11:19.454939,37077,1594883479,454637050,,,0,1594883456,-215.4724579,8.043399811,2.843459129,103.3463898,0.25371331,-0.0189062972,-0.0880501419,1,0,2.281499863,0.0310203861,1594883479.45464
2020/07/16/16:11:19.554923,37078,1594883479,554642200,,,0,1594883456,-218.2386475,7.992917061,2.937594175,104.1836319,0.244152889,0.0930780917,-0.0771751031,1,0,2.484300137,0.0315569825,1594883479.55464
2020/07/16/16:11:19.654949,37079,1594883479,654664039,,,0,1594883456,-221.0259705,7.934358597,3.043717861,104.9724731,0.228106201,0.245291755,-0.0921680927,1,0,2.281499863,0.032094568,1594883479.65466
2020/07/16/16:11:19.754926,37080,1594883479,754638433,,,0,1594883456,-223.6567841,7.871145725,3.162677288,105.7069855,0.2423127,0.123534143,-0.0579913184,1,0,1.825199962,0.0326033272,1594883479.75464
2020/07/16/16:11:19.854949,37081,1594883479,854660272,,,0,1594883456,-226.7489166,7.791250229,3.310521126,106.5591431,0.231828973,-0.109261386,-0.0297406781,1,0,1.571699977,0.0331999324,1594883479.85466
2020/07/16/16:11:19.954925,37082,1594883479,954648494,,,0,1594883456,-229.3301239,7.722020626,3.426347733,107.2716217,0.236660227,-0.144285485,-0.0631294101,1,0,1.825199962,0.0336977653,1594883479.95465
2020/07/16/16:11:20.054989,37083,1594883480,54672241,,,0,1594883456,-233.3695984,7.604420185,3.592203856,108.3603439,0.227100849,-0.00113602541,-0.0680170581,1,0,1.774499893,0.0344772525,1594883480.05467
2020/07/16/16:11:20.154951,37084,1594883480,154647588,,,0,1594883456,-236.266449,7.512684345,3.709536076,109.1176605,0.224252298,0.0253794771,-0.0525150672,1,0,1.216799974,0.0350347273,1594883480.15465
2020/07/16/16:11:20.255017,37085,1594883480,254683971,,,0,1594883456,-238.0870667,7.452520847,3.784301758,109.5882874,0.228850782,0.0218717828,-0.0475774743,1,0,1.216799974,0.035383679,1594883480.25468
2020/07/16/16:11:20.354958,37086,1594883480,354655265,,,0,1594883456,-242.2115936,7.31013298,3.955812693,110.6361465,0.217376083,0.00349462498,-0.0434824862,1,0,1.368899941,0.0361792631,1594883480.35466
2020/07/16/16:11:20.454950,37087,1594883480,454648971,,,0,1594883456,-244.2421875,7.237140656,4.040653229,111.1464157,0.212854996,0.0181970336,-0.0422528312,1,0,1.216799974,0.0365701243,1594883480.45465
2020/07/16/16:11:20.554961,37088,1594883480,554656505,,,0,1594883456,-248.4236755,7.080156803,4.223263741,112.1541443,0.205711991,0.129753709,-0.0403527394,1,0,-0.101399995,0.0373769887,1594883480.55466
2020/07/16/16:11:20.654945,37089,1594883480,654645204,,,0,1594883456,-251.5130615,6.959488869,4.371123791,112.8895416,0.209081054,0.0331250988,-0.00891315006,1,0,-0.202799991,0.0379724689,1594883480.65465
2020/07/16/16:11:20.754960,37090,1594883480,754653930,,,0,1594883456,-254.5278473,6.840344429,4.518638611,113.5977325,0.203419805,-0.029553622,-0.0148971416,1,0,0.709799945,0.0385550819,1594883480.75465
2020/07/16/16:11:20.855056,37091,1594883480,854701519,,,0,1594883456,-257.9419861,6.703762054,4.682798862,114.3871307,0.198482871,-0.0287368502,-0.0182160847,1,0,0.506999969,0.0392129943,1594883480.85470
2020/07/16/16:11:20.955066,37092,1594883480,954732656,,,0,1594883456,-260.4224243,6.603245258,4.800048828,114.954628,0.215232342,-0.00970654469,-0.0240088943,1,0,0.912599981,0.0396912098,1594883480.95473
2020/07/16/16:11:21.055051,37093,1594883481,54723739,,,0,1594883456,-263.7806396,6.464956284,4.957746029,115.701561,0.198545039,-0.0494435951,-0.0396333449,1,0,0.506999969,0.0403384678,1594883481.05472
2020/07/16/16:11:21.154942,37094,1594883481,154637813,,,0,1594883456,-267.8392639,6.293253422,5.14842844,116.5775757,0.177797496,0.268684268,-0.0239691548,1,0,0.304199994,0.041121982,1594883481.15464
2020/07/16/16:11:21.255038,37095,1594883481,254716396,,,0,1594883456,-270.0731812,6.197435379,5.267558575,117.0237579,0.21251367,0.297747701,0.0341577269,1,0,-0.608399987,0.0415518284,1594883481.25472
2020/07/16/16:11:21.354953,37096,1594883481,354660749,,,0,1594883456,-274.272644,6.019696712,5.511070251,117.9107513,0.191212073,-0.126541376,-0.00979008991,1,0,0.912599981,0.0423606113,1594883481.35466
2020/07/16/16:11:21.454952,37097,1594883481,454646348,,,0,1594883456,-277.4188538,5.885076523,5.680253983,118.5599213,0.181733236,-0.153391346,-0.0626406446,1,0,1.166100025,0.0429672226,1594883481.45465
