,center_x,center_y,distance
0,0.0,0.0,0
1,0.99806127,0.06223901,1
2,1.99612295,0.12447158,2
3,2.99418416,0.18671166,3
4,3.99224572,0.24894601,4
5,4.99030708,0.31118365,5
6,5.98836849,0.37342043,6
7,6.98642978,0.43565925,7
8,7.98449144,0.49789202,8
9,8.98255265,0.560132,9
10,9.98061421,0.62236644,10
11,10.97867563,0.68460301,11
12,11.97673716,0.74683802,12
13,12.97479855,0.8090751,13
14,13.97286007,0.87131012,14
15,14.97092161,0.93354496,15
16,15.96898288,0.99578403,16
17,16.96704414,1.0580232,17
18,17.96510579,1.12025617,18
19,18.9631671,1.18249459,19
20,19.96122844,1.24473255,20
21,20.95929007,1.30696575,21
22,21.95735137,1.36920446,22
23,22.95541292,1.43143891,23
24,23.95347431,1.49367605,24
25,24.95153566,1.55591385,25
26,25.94959709,1.61815047,26
27,26.94765859,1.68038571,27
28,27.94572003,1.74262206,28
29,28.94378159,1.8048565,29
30,29.94184286,1.86709555,30
31,30.93990454,1.92932808,31
32,31.93796575,1.99156811,32
33,32.93602731,2.05380251,33
34,33.93408852,2.11604249,34
35,34.93215008,2.17827693,35
36,35.93021129,2.24051691,36
37,36.92827298,2.30274926,37
38,37.92633424,2.3649885,38
39,38.9243958,2.42722294,39
40,39.92245723,2.48945946,40
41,40.92051875,2.55169452,41
42,41.91858015,2.6139315,42
43,42.91664152,2.67616895,43
44,43.91470291,2.73840609,44
45,44.91276447,2.80064053,45
46,45.91082574,2.8628796,46
47,46.90888738,2.92511262,47
48,47.9069487,2.98735095,48
49,48.90501003,3.049589,49
50,49.90307167,3.11182216,50
51,50.90113296,3.17406096,51
52,51.8991942,3.2363004,52
53,52.89725577,3.29853469,53
54,53.89531726,3.36077025,54
55,54.89337868,3.42300697,55
56,55.89144019,3.48524216,56
57,56.88950162,3.54747855,57
58,57.88756318,3.60971299,58
59,58.8856244,3.67195298,59
60,59.88368607,3.73418556,60
61,60.88174734,3.79642456,61
62,61.87980872,3.85866188,62
63,62.87787011,3.92089899,63
64,63.87593166,3.9831336,64
65,64.87399289,4.04537341,65
66,65.87205457,4.1076058,66
67,66.87011583,4.16984499,67
68,67.86817739,4.23207943,68
69,68.86623869,4.29431805,69
70,69.86430034,4.35655102,70
71,70.86236155,4.418791,71
72,71.86042311,4.48102544,72
73,72.8584845,4.54326259,73
74,73.85654606,4.60549703,74
75,74.85460733,4.66773601,75
76,75.85266883,4.72997145,76
77,76.8507303,4.7922073,77
78,77.84879163,4.85444545,78
79,78.84685313,4.91668084,79
80,79.84491455,4.97891746,80
81,80.8429758,5.0411568,81
82,81.84103736,5.10339123,82
83,82.83909886,5.16562666,83
84,83.83716027,5.22786347,84
85,84.83522174,5.29009935,85
86,85.83328315,5.35233617,86
87,86.83134477,5.41456949,87
88,87.82940599,5.47680947,88
89,88.82746744,5.53904564,89
90,89.82552893,5.60128106,90
91,90.82359032,5.66351824,91
92,91.82165171,5.72575548,92
93,92.81971326,5.78799001,93
94,93.81777448,5.85022991,94
95,94.81583604,5.91246435,95
96,95.81389742,5.97470149,96
97,96.81195898,6.03693593,97
98,97.8100202,6.09917592,98
99,98.8080819,6.16140796,99
100,99.80614314,6.2236475,100
101,100.8042047,6.28588194,101
102,101.8022659,6.3481216,102
103,102.8003277,6.41035352,103
104,103.7983889,6.47259241,104
105,104.7964504,6.53482795,105
106,105.7945119,6.59706366,106
107,106.7925732,6.6593019,107
108,107.7906344,6.72154185,108
109,108.7886961,6.78377396,109
110,109.7867574,6.84601321,110
111,110.7848189,6.90824838,111
112,111.7828804,6.97048432,112
113,112.7809419,7.03271996,113
114,113.7790033,7.09495576,114
115,114.7770647,7.15719271,115
116,115.775126,7.21943116,116
117,116.7731876,7.28166597,117
118,117.7712489,7.34390386,118
119,118.7693105,7.40613765,119
120,119.7673719,7.46837459,120
121,120.7654332,7.53061384,121
122,121.7634949,7.59284642,122
123,122.7615561,7.6550864,123
124,123.7596176,7.71732084,124
125,124.757679,7.77955799,125
126,125.7557404,7.84179451,126
127,126.7538018,7.90403241,127
128,127.7518633,7.96626702,128
129,128.7499247,8.02850399,129
130,129.7479863,8.09073844,130
131,130.7460475,8.15297815,131
132,131.7441092,8.21521002,132
133,132.7421705,8.27745,133
134,133.740232,8.33968444,134
135,134.7382932,8.40192443,135
136,135.7363548,8.46415835,136
137,136.734416,8.52639885,137
138,137.7324776,8.58863185,138
139,138.730539,8.65086961,139
140,139.7286005,8.71310488,140
141,140.726662,8.77534077,141
142,141.7247235,8.83757646,142
143,142.7227849,8.89981216,143
144,143.7208462,8.96205088,144
145,144.7189076,9.0242878,145
146,145.7169692,9.08652247,146
147,146.7150305,9.14876026,147
148,147.7130921,9.2109942,148
149,148.7111535,9.27323095,149
150,149.7092148,9.33547029,150
151,150.7072764,9.39770292,151
152,151.7053377,9.4599429,152
153,152.703399,9.52218106,153
154,153.7014604,9.58441728,154
155,154.699522,9.64665091,155
156,155.6975834,9.70888891,156
157,156.6956449,9.77112348,157
158,157.6937063,9.83336049,158
159,158.6917679,9.89559493,159
160,159.6898291,9.95783492,160
161,160.6878907,10.02006815,161
162,161.685952,10.0823065,162
163,162.6840135,10.14454189,163
164,163.6820748,10.20678092,164
165,164.6801364,10.2690148,165
166,165.6781976,10.33125535,166
167,166.6762592,10.3934884,167
168,167.6743206,10.45572601,168
169,168.6723821,10.51796137,169
170,169.6704435,10.58019871,170
171,170.668505,10.64243333,171
172,171.6665663,10.70467294,172
173,172.6646278,10.76690738,173
174,173.6626892,10.82914425,174
175,174.6607508,10.89137896,175
176,175.6588121,10.95361666,176
177,176.6568735,11.01585339,177
178,177.6549351,11.07808731,178
179,178.6529964,11.14032674,179
180,179.6510579,11.20256215,180
181,180.6491193,11.2647994,181
182,181.6471806,11.32703746,182
183,182.645242,11.38927382,183
184,183.6433036,11.45150732,184
185,184.641365,11.5137454,185
186,185.6394265,11.57598001,186
187,186.6374878,11.63821876,187
188,187.6355495,11.70045143,188
189,188.6336107,11.76269141,189
190,189.6316722,11.82492695,190
191,190.6297336,11.887163,191
192,191.6277951,11.94939824,192
193,192.6258564,12.01163742,193
194,193.623918,12.07387186,194
195,194.6219792,12.13611185,195
196,195.6200407,12.19834629,196
197,196.6181021,12.26058395,197
198,197.6161637,12.32281787,198
199,198.6142249,12.38505785,199
200,199.6122866,12.44728988,200
201,200.6103478,12.50952944,201
202,201.6084094,12.57176388,202
203,202.6064707,12.63400321,203
204,203.6045324,12.69623546,204
205,204.6025937,12.75847307,205
206,205.6006551,12.82070989,206
207,206.5987167,12.88294366,207
208,207.596778,12.94518318,208
209,208.5948391,13.00742386,209
210,209.5929008,13.06965589,210
211,210.5909622,13.13189386,211
212,211.5890236,13.19413032,212
213,212.5870851,13.25636564,213
214,213.5851466,13.3186019,214
215,214.5832081,13.38083642,215
216,215.5812694,13.44307531,216
217,216.5793308,13.50531182,217
218,217.5773923,13.56754791,218
219,218.5754537,13.62978452,219
220,219.5735152,13.69202025,220
221,220.5715767,13.7542546,221
222,221.5696379,13.81649512,222
223,222.5676996,13.87872836,223
224,223.5657608,13.94096834,224
225,224.5638223,14.00320278,225
226,225.5618837,14.06544049,226
227,226.5599452,14.12767517,227
228,227.5580065,14.18991435,228
229,228.556068,14.25214879,229
230,229.5541294,14.31438593,230
231,230.552191,14.37662037,231
232,231.5502523,14.43885962,232
233,232.5483139,14.50109196,233
234,233.5463752,14.56333194,234
235,234.5444367,14.62556638,235
236,235.5424979,14.68780637,236
237,236.5405596,14.75003963,237
238,237.5386207,14.81228022,238
239,238.5366823,14.87451445,239
240,239.5347438,14.93675027,240
241,240.5328052,14.99898681,241
242,241.5308667,15.06122209,242
243,242.5289282,15.1234584,243
244,243.5269897,15.18569284,244
245,244.5250509,15.24793282,245
246,245.5231124,15.31016912,246
247,246.5211739,15.37240441,247
248,247.5192353,15.43464092,248
249,248.5172968,15.49687679,249
250,249.5153583,15.55911095,250
251,250.5134195,15.62135157,251
252,251.5114811,15.68358485,252
253,252.5095424,15.74582484,253
254,253.5076038,15.80806172,254
255,254.5056651,15.87029926,255
256,255.5037268,15.93253157,256
257,256.5017881,15.99477085,257
258,257.4998496,16.05700529,258
259,258.497911,16.11924243,259
260,259.4959726,16.18147687,260
261,260.4940338,16.24371685,261
262,261.4920954,16.30595075,262
263,262.4901567,16.36818844,263
264,263.4882183,16.43042288,264
265,264.4862795,16.49266286,265
266,265.4843412,16.55489608,266
267,266.4824023,16.61713657,267
268,267.4804639,16.67937099,268
269,268.4785254,16.74160667,269
270,269.4765868,16.80384331,270
271,270.4746483,16.86607937,271
272,271.4727097,16.92831593,272
273,272.470771,16.99055477,273
274,273.4688325,17.05278932,274
275,274.466894,17.11502557,275
276,275.4649555,17.1772609,276
277,276.4630169,17.23949732,277
278,277.4610782,17.30173533,278
279,278.4591399,17.36396731,279
280,279.4572011,17.42620802,280
281,280.4552624,17.48844751,281
282,281.453324,17.55068134,282
283,282.4513854,17.61291812,283
284,283.4494467,17.67515576,284
285,284.4475084,17.73738798,285
286,285.4455697,17.79962734,286
287,286.4436312,17.86186178,287
288,287.4416925,17.92410136,288
289,288.4397542,17.98633337,289
290,289.4378154,18.04857335,290
291,290.4358769,18.11080827,291
292,291.4339383,18.17304493,292
293,292.4319999,18.23527938,293
294,293.4300611,18.29751936,294
295,294.4281227,18.3597538,295
296,295.4261839,18.42199293,296
297,296.4242454,18.48422822,297
298,297.4223068,18.54646654,298
299,298.4203684,18.60869981,299
300,299.4184296,18.67093979,300
301,300.4164913,18.73317247,301
302,301.4145526,18.79541117,302
303,302.4126141,18.85764582,303
304,303.4106754,18.91988387,304
305,304.4087371,18.98211741,305
306,305.4067985,19.04435373,306
307,306.4048598,19.10659182,307
308,307.4029215,19.16882366,308
309,308.4009827,19.23106447,309
310,309.399044,19.29330386,310
311,310.3971055,19.35553783,311
312,311.395167,19.41777452,312
313,312.3932283,19.48001226,313
314,313.3912899,19.54224695,314
315,314.3893513,19.60448384,315
316,315.3874128,19.66671828,316
317,316.3854741,19.7289579,317
318,317.3835356,19.79119248,318
319,318.381597,19.85342985,319
320,319.3796585,19.91566518,320
321,320.3777198,19.97790284,321
322,321.3757815,20.04013587,322
323,322.3738427,20.1023764,323
324,323.3719043,20.1646103,324
325,324.3699655,20.22684994,325
326,325.368027,20.28908472,326
327,326.3660883,20.35132309,327
328,327.36415,20.4135563,328
329,328.3622112,20.47579629,329
330,329.3602727,20.53803073,330
331,330.3583341,20.60026773,331
332,331.3563957,20.66250231,332
333,332.354457,20.72474027,333
334,333.3525186,20.78697395,334
335,334.3505799,20.84921388,335
336,335.3486414,20.91144832,336
337,336.3465746,20.97563122,337
338,337.3442876,21.04311116,338
339,338.3421047,21.10912995,339
340,339.3399045,21.17541614,340
341,340.33771,21.24154564,341
342,341.3355183,21.30767237,342
343,342.3334142,21.37248647,343
344,343.3312671,21.43791419,344
345,344.3291593,21.50276778,345
346,345.3270789,21.56720462,346
347,346.3249884,21.63173082,347
348,347.3228557,21.69690662,348
349,348.3207812,21.76118586,349
350,349.318771,21.82453235,350
351,350.3166932,21.8887785,351
352,351.3146483,21.95253926,352
353,352.3126558,22.01562121,353
354,353.3106336,22.07915286,354
355,354.3086032,22.14281129,355
356,355.3065879,22.20611586,356
357,356.304541,22.27002572,357
358,357.3025039,22.33370072,358
359,358.3003774,22.39870747,359
360,359.298279,22.46332516,360
361,360.2961668,22.52818661,361
362,361.294056,22.5931041,362
363,362.291878,22.65902759,363
364,363.2897154,22.72474791,364
365,364.287466,22.7917459,365
366,365.2852001,22.85894701,366
367,366.2828675,22.92718069,367
368,367.2805116,22.9956281,368
369,368.2781564,23.06416843,369
370,369.2757993,23.13273681,370
371,370.2734135,23.20171078,371
372,371.2710554,23.27026625,372
373,372.2686762,23.33917568,373
374,373.2663273,23.4076062,374
375,374.2639431,23.47655386,375
376,375.2615813,23.54518611,376
377,376.2591506,23.6148537,377
378,377.2567073,23.68467283,378
379,378.2542483,23.75471658,379
380,379.2517962,23.82464623,380
381,380.2492178,23.89620657,381
382,381.2466813,23.96735485,382
383,382.2441979,24.03773062,383
384,383.2417393,24.10775859,384
385,384.2392639,24.1780423,385
386,385.2367693,24.24861916,386
387,386.2342555,24.31940413,387
388,387.2318223,24.38894224,388
389,388.2293518,24.45918275,389
390,389.2268971,24.52911733,390
391,390.2244406,24.5991132,391
392,391.2219965,24.66892824,392
393,392.2195751,24.7384054,393
394,393.2171286,24.80820204,394
395,394.2146989,24.87782741,395
396,395.2122167,24.94802794,396
397,396.2098531,25.01651491,397
398,397.2074339,25.08590136,398
399,398.2050539,25.1547938,399
400,399.2026838,25.2235389,400
401,400.2002945,25.29248983,401
402,401.1979067,25.36152635,402
403,402.1955653,25.42988882,403
404,403.1932253,25.49821012,404
405,404.1909135,25.56604622,405
406,405.1885691,25.63432596,406
407,406.1861964,25.70314991,407
408,407.1838215,25.77198178,408
409,408.1814149,25.84119018,409
410,409.1790456,25.90994874,410
411,410.1766602,25.97894472,411
412,411.174278,26.04789652,412
413,412.1718832,26.11701599,413
414,413.1694647,26.18643991,414
415,414.1669927,26.25663536,415
416,415.1645809,26.32601037,416
417,416.1621632,26.39546945,417
418,417.1597956,26.46422541,418
419,418.1574716,26.53234754,419
420,419.1551422,26.60052613,420
421,420.1528971,26.66746239,421
422,421.1505978,26.73516861,422
423,422.1483231,26.80254617,423
424,423.1460766,26.8695128,424
425,424.1438672,26.93590838,425
426,425.1415955,27.00325458,426
427,426.1394328,27.06894351,427
428,427.1372526,27.13486864,428
429,428.1350448,27.20123885,429
430,429.1328654,27.26718741,430
431,430.1306293,27.33399655,431
432,431.1283828,27.40093868,432
433,432.1261315,27.46797838,433
434,433.1239095,27.53456012,434
435,434.1216664,27.60146211,435
436,435.1194286,27.66827668,436
437,436.1171781,27.73526401,437
438,437.1149526,27.8019079,438
439,438.1126906,27.86911191,439
440,439.110486,27.93539823,440
441,440.108316,28.00118187,441
442,441.1061222,28.06728598,442
443,442.1039273,28.13345576,443
444,443.1017243,28.19974558,444
445,444.0995233,28.26599614,445
446,445.0973295,28.33209029,446
447,446.0951476,28.39805903,447
448,447.0929515,28.46423544,448
449,448.0907752,28.53004158,449
450,449.088604,28.59584867,450
451,450.0864412,28.66154932,451
452,451.0842281,28.72798533,452
453,452.0820249,28.79425969,453
454,453.0798454,28.86021158,454
455,454.0776143,28.92696137,455
456,455.0754211,28.99310464,456
457,456.0732145,29.05947257,457
458,457.0710446,29.12529535,458
459,458.0689334,29.19021218,459
460,459.0668473,29.25471198,460
461,460.0647472,29.3194665,461
462,461.0627256,29.38298289,462
463,462.0606583,29.44717479,463
464,463.0585521,29.5120243,464
465,464.056506,29.57593219,465
