,center_x,center_y,distance
0,-55.07062098,25.55819045,0
1,-56.07061631,25.56124557,1
2,-57.07061166,25.56429674,2
3,-58.070607,25.56734792,3
4,-59.07060254,25.57033765,4
5,-60.07059847,25.57318921,5
6,-61.0705944,25.57604076,6
7,-62.07059082,25.5787184,7
8,-63.07058754,25.58127846,8
9,-64.07058426,25.58383851,9
10,-65.07058096,25.58640807,10
11,-66.07057766,25.58897763,11
12,-67.07057541,25.59110214,12
13,-68.07057374,25.59292513,13
14,-69.07057208,25.59474811,14
15,-70.07057051,25.59652352,15
16,-71.07056905,25.5982329,16
17,-72.07056758,25.59994228,17
18,-73.07056628,25.60155548,18
19,-74.07056506,25.60311639,19
20,-75.07056385,25.60467731,20
21,-76.07056286,25.60608247,21
22,-77.07056204,25.60735965,22
23,-78.07056123,25.60863683,23
24,-79.07056056,25.60979669,24
25,-80.07055988,25.61095654,25
26,-81.07055954,25.6117834,26
27,-82.07055937,25.61235976,27
28,-83.07055921,25.61293613,28
29,-84.07055917,25.61320374,29
30,-85.07055917,25.61322633,30
31,-86.07055917,25.61324892,31
32,-87.07055911,25.61288957,32
33,-88.07055886,25.61218286,33
34,-89.07055861,25.61147616,34
35,-90.07055823,25.61060868,35
36,-91.07055734,25.60927313,36
37,-92.07055645,25.60793759,37
38,-93.07055406,25.60574986,38
39,-94.07055166,25.60356213,39
40,-95.07054927,25.60137441,40
41,-96.07054688,25.59918668,41
42,-97.07054448,25.59699896,42
43,-98.07054064,25.59422746,43
44,-99.07053646,25.59133458,44
45,-100.0705323,25.5884417,45
46,-101.0705265,25.58505231,46
47,-102.0705208,25.58166293,47
48,-103.0705134,25.5778174,48
49,-104.0705047,25.57365926,49
50,-105.0704961,25.56950112,50
51,-106.070486,25.56499869,51
52,-107.0704758,25.56049627,52
53,-108.070465,25.55583691,53
54,-109.0704516,25.55066534,54
55,-110.0704382,25.54549376,55
56,-111.0704222,25.53983474,56
57,-112.0704062,25.53417571,57
58,-113.0703899,25.52845723,58
59,-114.0703755,25.52310163,59
60,-115.0703612,25.51774602,60
61,-116.0703474,25.51248971,61
62,-117.0703335,25.50723341,62
63,-118.0703186,25.50176322,63
64,-119.0703024,25.4960678,64
65,-120.0702861,25.49037237,65
66,-121.0702667,25.48414389,66
67,-122.0702457,25.47765391,67
68,-123.0702246,25.47116392,68
69,-124.0701951,25.46347806,69
70,-125.0701656,25.4557922,70
71,-126.070124,25.44667862,71
72,-127.0700729,25.43656692,72
73,-128.0700218,25.42645523,73
74,-129.0699588,25.41523022,74
