,center_x,center_y,distance
0,-243.2495647,-620.4532903,0
1,-243.7813072,-621.3001964,1
2,-244.3121435,-622.1476708,2
3,-244.8429797,-622.9951453,3
4,-245.3746413,-623.8421021,4
5,-245.9056727,-624.6894543,5
6,-246.436704,-625.5368065,6
7,-246.9682718,-626.3838222,7
8,-247.4998396,-627.230838,8
9,-248.0305114,-628.0784154,9
10,-248.5619533,-628.9255101,10
11,-249.0933951,-629.7726049,11
12,-249.6239593,-630.6202497,12
13,-250.1556165,-631.4672093,13
14,-250.6872737,-632.3141689,14
15,-251.2182165,-633.1615766,15
16,-251.7500333,-634.008436,16
17,-252.2818502,-634.8552954,17
18,-252.8129647,-635.7025955,18
19,-253.3449541,-636.5493465,19
20,-253.8762613,-637.3965257,20
21,-254.4075685,-638.2437049,21
22,-254.9395417,-639.0904661,22
23,-255.4709556,-639.9375785,23
24,-256.0023694,-640.7846908,24
25,-256.5345453,-641.6313246,25
26,-257.0660481,-642.4783812,26
27,-257.5975509,-643.3254377,27
28,-258.1295981,-644.1721524,28
29,-258.6609881,-645.0192797,29
30,-259.192378,-645.866407,30
31,-259.7246781,-646.7129628,31
32,-260.2566128,-647.5597482,32
33,-260.7885475,-648.4065335,33
34,-261.3195645,-649.2538947,34
35,-261.851373,-650.1007593,35
36,-262.3828768,-650.9478153,36
37,-262.9143805,-651.7948713,37
38,-263.4458842,-652.6419272,38
39,-263.9773879,-653.4889832,39
40,-264.5088916,-654.3360391,40
41,-265.0403953,-655.1830951,41
42,-265.571899,-656.0301511,42
43,-266.1028145,-656.8775759,43
44,-266.6345279,-657.7245002,44
45,-267.1662413,-658.5714246,45
46,-267.6974887,-659.4186413,46
47,-268.2291713,-660.265585,47
48,-268.7608539,-661.1125287,48
49,-269.2918142,-661.9599253,49
50,-269.823146,-662.8070891,50
51,-270.3544779,-663.6542529,51
52,-270.8853035,-664.501734,52
53,-271.4161292,-665.349215,53
54,-271.9474879,-666.196362,54
55,-272.4779318,-667.044082,55
