Distance,PosLocalX,PosLocalY,InverseRadius,RefinedPosLon,RefinedPosLat,TimeStamp,GPS_Speed,PosLat,PosLon,AccelForward,AccelLateral,DeviceAccelForward,DeviceAccelLateral,DeviceAccelVertical,AngleTrack,AngleRateZ,GPS_Height,GPS_NumSat,GPS_PosAccuracy,RPM,Steer_angle,Gear,OilT,Internal Batte,External Batte,ECU_THROTTLE,ECU_ENG_TMP,ECU_WS_FL,ECU_WS_FR,ECU_WS_RL,ECU_WS_RR,ECU_PEDAL,ECU_MAF,ECU_BRK_PRES,ECU_STEER_SPD,ECU_TCS_ESP,ECU_V_BATTERY,GPS_Slope,GPS_Elevation,PositionIndex,LapNo,PositionHeight,AccelX,AccelY,AccelCombined,HP_est,Pedal_throttle,Origin_Steer_angle,GripUsage,Pedal_brake,Origin_Gear,Origin_RPM
11473.712,1.3610546981586846,-0.04530351505794536,0.0003462142984343556,128.29133931584775,38.00044221302963,419.1326253598959,149.95,38.00044222607009,128.291339309557,0.144,-0.082,-3.782,3.319,-2.219,358.692,-0.015,368.584,8.0,2.14,5524,-1.035,4,169.0,4.159,12.321,86.511,108.0,150.319,150.506,148.672,148.503,99.0,243.564,0.4,0.0,3.0,12.436,-22.826,369.25,0.0,3,318.182,1.367,-0.743,1.556,133.238,100.0,0.647,17.697,0.0,4.0,5524.946
11474.713,1.3372145890616,0.9553083429197503,0.0003481516748661432,128.29133904407362,38.000451201722484,419.15619090647357,150.081,38.00045121757384,128.29133903761996,0.142,-0.08,-3.782,3.322,-2.223,358.67,-0.015,368.242,8.0,2.14,5527,-1.012,4,169.0,4.159,12.32,86.5,108.0,150.447,150.573,148.73,148.605,99.0,242.73,0.4,0.0,3.0,12.433,-22.799,368.865,1.0,3,318.172,1.352,-0.727,1.535,133.589,100.0,0.624,17.604,0.0,4.0,5527.278
11475.714,1.312879682800727,1.9566929702395153,0.00035552308111988826,128.2913387666588,38.00046019735727,419.1797463115805,150.214,38.00046021459969,128.29133876031938,0.14,-0.079,-3.781,3.327,-2.228,358.649,-0.015,367.929,8.0,2.14,5529,-0.981,4,169.0,4.159,12.32,86.5,108.0,150.581,150.651,148.777,148.707,99.0,241.187,0.4,0.0,3.0,12.434,-22.579,368.481,2.0,3,318.171,1.336,-0.712,1.513,133.928,100.0,0.593,17.512,0.0,4.0,5529.939
11476.716,1.2884544054315845,2.95808581232801,0.00036231213390470443,128.2913384882138,38.00046919306585,419.2032920057898,150.346,38.00046920941607,128.29133848187413,0.138,-0.077,-3.781,3.331,-2.233,358.629,-0.014,367.61,8.0,2.14,5532,-0.949,4,169.0,4.159,12.32,86.499,108.0,150.716,150.733,148.825,148.808,99.0,239.715,0.4,0.0,3.0,12.433,-22.34,368.098,3.0,3,318.169,1.319,-0.697,1.492,134.264,100.0,0.561,17.419,0.0,4.0,5532.788
11477.718,1.2634747654558691,3.959529046192065,0.0003655288614943874,128.29133820344916,38.00047818922712,419.2267781305346,150.467,38.00047819067893,128.29133819640737,0.136,-0.076,-3.782,3.336,-2.239,358.609,-0.014,367.256,8.0,2.14,5536,-0.914,4,169.0,4.159,12.32,86.491,108.0,150.865,150.84,148.876,148.902,99.0,238.676,0.4,0.0,3.0,12.424,-21.974,367.715,4.0,3,318.168,1.302,-0.683,1.47,134.571,100.0,0.526,17.329,0.0,4.0,5536.784
11478.719,1.2384862970153039,4.960972062389856,0.0003687582027887848,128.29133791858382,38.00048718538642,419.25026418634263,150.588,38.00048717202653,128.2913379108482,0.134,-0.075,-3.782,3.34,-2.245,358.589,-0.013,366.901,8.0,2.14,5540,-0.878,4,169.0,4.159,12.32,86.483,108.0,151.015,150.947,148.927,148.995,99.0,237.643,0.4,0.0,3.0,12.416,-21.606,367.332,5.0,3,318.167,1.285,-0.668,1.448,134.878,100.0,0.49,17.238,0.0,4.0,5540.794
11479.721,1.212722012633649,5.9623959508047335,0.0003730959942339351,128.2913376248743,38.0004961813739,419.27374418421357,150.697,38.00049616081964,128.29133761716716,0.131,-0.074,-3.782,3.346,-2.253,358.57,-0.013,366.509,8.0,2.14,5546,-0.839,4,169.0,4.159,12.319,86.467,108.0,151.179,151.08,148.982,149.081,99.0,237.066,0.4,0.0,3.0,12.4,-21.105,366.949,6.0,3,318.165,1.268,-0.655,1.427,135.142,100.0,0.451,17.15,0.0,4.0,5546.028
11480.723,1.1869577282519943,6.963819839219613,0.0003774337856790853,128.2913373311648,38.000505177361376,419.29722418208445,150.807,38.00050514961275,128.29133732348618,0.129,-0.072,-3.783,3.351,-2.26,358.552,-0.013,366.117,8.0,2.14,5551,-0.8,4,169.0,4.159,12.319,86.452,108.0,151.344,151.213,149.037,149.167,99.0,236.489,0.4,0.0,3.0,12.384,-20.603,366.566,7.0,3,318.162,1.25,-0.642,1.405,135.406,100.0,0.412,17.063,0.0,4.0,5551.262
11481.725,1.160252163236766,7.965302528090707,0.00037794660170545493,128.2913370267248,38.000514173877065,419.3208319250696,150.91,38.00051415447335,128.29133701844316,0.127,-0.071,-3.784,3.355,-2.268,358.534,-0.012,365.762,8.0,2.141,5556,-0.771,4,169.0,4.159,12.319,86.422,108.0,151.494,151.336,149.105,149.254,99.0,236.802,0.4,0.0,3.0,12.387,-20.144,366.185,8.0,3,318.15,1.233,-0.629,1.384,135.638,100.0,0.383,16.976,0.0,4.0,5556.498
11482.727,1.1334204003401507,8.966793100363132,0.00037794660170545493,128.29133672084618,38.00052317046358,419.34445679489477,151.011,38.000523161488154,128.2913367118769,0.125,-0.07,-3.785,3.359,-2.277,358.516,-0.012,365.412,8.0,2.143,5561,-0.744,4,169.0,4.159,12.319,86.39,108.0,151.643,151.457,149.176,149.34,99.0,237.235,0.4,0.0,3.0,12.391,-19.691,365.803,9.0,3,318.138,1.217,-0.616,1.364,135.866,100.0,0.356,16.89,0.0,4.0,5561.734
