Distance,PosLocalX,PosLocalY,InverseRadius,RefinedPosLon,RefinedPosLat,TimeStamp,GPS_Speed,PosLat,PosLon,AccelForward,AccelLateral,DeviceAccelForward,DeviceAccelLateral,DeviceAccelVertical,AngleTrack,AngleRateZ,GPS_Height,GPS_NumSat,GPS_PosAccuracy,RPM,Steer_angle,Gear,OilT,Internal Batte,External Batte,ECU_THROTTLE,ECU_ENG_TMP,ECU_WS_FL,ECU_WS_FR,ECU_WS_RL,ECU_WS_RR,ECU_PEDAL,ECU_MAF,ECU_BRK_PRES,ECU_STEER_SPD,ECU_TCS_ESP,ECU_V_BATTERY,GPS_Slope,GPS_Elevation,PositionIndex,LapNo,PositionHeight,AccelX,AccelY,AccelCombined,HP_est,Pedal_throttle,Origin_Steer_angle,GripUsage,Pedal_brake,Origin_Gear,Origin_RPM
11474.449,1.3436103665071346,0.6921212508858386,0.00034621429843435553,128.29133911698463,38.000448837461136,419.15,150.045,38.000448852946896,128.29133911050099,0.143,-0.081,-3.782,3.321,-2.222,358.675,-0.015,368.324,8.0,2.14,5526,-1.02,4,169.0,4.159,12.32,86.5,108.0,150.412,150.552,148.718,148.578,99.0,243.136,0.4,0.0,3.0,12.433,-22.856,368.966,0.737,3,318.173,1.356,-0.731,1.541,133.499,100.0,0.632,17.629,0.0,4.0,5526.578
11476.576,1.2919557544332012,2.817715403848357,0.0003618612512680628,128.29133852812873,38.0004679320909,419.2,150.329,38.0004679505294,128.29133852188747,0.138,-0.078,-3.781,3.33,-2.232,358.631,-0.014,367.659,8.0,2.14,5532,-0.954,4,169.0,4.159,12.32,86.5,108.0,150.695,150.718,148.818,148.795,99.0,239.861,0.4,0.0,3.0,12.434,-22.391,368.151,2.86,3,318.169,1.322,-0.699,1.495,134.221,100.0,0.566,17.432,0.0,4.0,5532.228
11478.708,1.2387761851191683,4.949704492606948,0.0003687093959165129,128.2913379218885,38.000487084167624,419.25,150.586,38.00048707088868,128.29133791415254,0.134,-0.075,-3.782,3.34,-2.245,358.589,-0.013,366.906,8.0,2.14,5540,-0.879,4,169.0,4.159,12.32,86.483,108.0,151.013,150.945,148.927,148.994,99.0,237.649,0.4,0.0,3.0,12.416,-21.612,367.336,4.989,3,318.167,1.285,-0.669,1.449,134.875,100.0,0.491,17.239,0.0,4.0,5540.735
11480.841,1.1839118607625307,7.08220870730193,0.00037794660170545493,128.2913372964423,38.00050624087183,419.3,150.82,38.000506212272676,128.29133728876704,0.129,-0.072,-3.783,3.351,-2.261,358.549,-0.013,366.071,8.0,2.14,5551,-0.795,4,169.0,4.159,12.319,86.45,108.0,151.363,151.229,149.043,149.177,99.0,236.42,0.4,0.0,3.0,12.382,-20.544,366.521,7.118,3,318.161,1.248,-0.64,1.403,135.437,100.0,0.407,17.052,0.0,4.0,5551.88
11482.962,1.127124748081649,9.201777152938751,0.00037794660170545493,128.29133664907653,38.00052528137147,419.35,151.035,38.00052527484288,128.2913366399459,0.124,-0.07,-3.786,3.36,-2.279,358.511,-0.012,365.329,8.0,2.143,5562,-0.738,4,169.0,4.159,12.319,86.383,108.0,151.678,151.485,149.193,149.36,99.0,237.336,0.4,0.0,3.0,12.393,-19.584,365.714,9.235,3,318.135,1.213,-0.613,1.359,135.919,100.0,0.35,16.869,0.0,4.0,5562.963
11485.074,1.068275426600684,11.312922202031887,0.00037794660170545493,128.2913359782019,38.0005442462021,419.4,151.233,38.000544264661876,128.2913359694919,0.12,-0.068,-3.79,3.367,-2.299,358.475,-0.011,364.674,8.0,2.143,5573,-0.704,4,169.0,4.159,12.318,86.284,108.0,151.96,151.717,149.373,149.544,99.0,240.232,0.4,0.0,3.0,12.444,-18.725,364.914,11.343,3,318.175,1.18,-0.585,1.317,136.334,100.0,0.316,16.688,0.0,4.0,5573.988
11487.198,1.0073264774388713,13.43665367254375,0.00037794660170545493,128.29133528339173,38.00056332409902,419.45,151.432,38.0005633658836,128.2913352747526,0.117,-0.065,-3.795,3.368,-2.313,358.444,-0.01,363.84,8.0,2.15,5580,-0.688,4,169.0,4.159,12.318,86.201,108.0,152.182,151.94,149.607,149.708,99.0,242.735,0.4,0.0,3.0,12.45,-18.014,364.106,13.463,3,318.16,1.152,-0.557,1.28,136.667,100.0,0.3,16.51,0.0,4.0,5580.153
11489.339,0.944355196261764,15.576436619993125,0.00037794660170545493,128.29133456552725,38.000582546189506,419.5,151.632,38.0005825699386,128.29133455759612,0.114,-0.063,-3.801,3.364,-2.321,358.417,-0.009,362.84,8.0,2.15,5581,-0.688,4,169.0,4.159,12.317,86.133,108.0,152.348,152.156,149.889,149.854,99.0,244.876,0.4,0.0,3.0,12.416,-17.44,363.291,15.599,3,318.159,1.131,-0.527,1.247,136.93,100.0,0.3,16.333,0.0,4.0,5581.834
11491.482,0.8795473264884033,17.718857101280417,0.00036068928178686525,128.29133382672592,38.00060179197348,419.55,151.824,38.00060178600976,128.29133382022826,0.112,-0.06,-3.805,3.36,-2.323,358.393,-0.008,361.923,8.0,2.15,5586,-0.688,4,169.0,4.159,12.317,86.1,108.0,152.524,152.398,150.181,150.098,99.0,246.151,0.4,0.0,3.0,12.408,-17.044,362.476,17.738,3,318.165,1.115,-0.495,1.22,137.117,100.0,0.3,16.16,0.0,4.0,5586.987
11493.623,0.8131597249066264,19.858731153729504,0.000318625464099303,128.29133306991582,38.000621014882384,419.6,152.008,38.000621013172754,128.29133306420377,0.11,-0.056,-3.807,3.355,-2.318,358.372,-0.007,361.083,8.0,2.15,5595,-0.688,4,169.0,4.159,12.316,86.1,108.0,152.708,152.664,150.483,150.432,99.0,246.626,0.4,0.0,3.0,12.424,-16.814,361.661,19.875,3,318.13,1.107,-0.459,1.198,137.234,100.0,0.3,15.992,0.0,4.0,5595.347
11495.765,0.7454867810798493,21.99925538087175,0.0002866795468565486,128.291332298453,38.000640243631935,419.65,152.175,38.00064024896322,128.29133229424968,0.11,-0.053,-3.809,3.353,-2.313,358.353,-0.006,360.413,7.68,2.15,5611,-0.687,4,169.0,4.159,12.316,86.101,108.0,152.873,152.948,150.732,150.745,99.0,247.046,0.4,0.0,3.0,12.457,-16.748,360.843,22.012,3,318.198,1.105,-0.42,1.182,137.293,100.0,0.299,15.829,0.0,4.0,5611.424
11497.909,0.6762800951890667,24.14228599445513,0.00025721855892408684,128.2913315095057,38.000659494896844,419.7,152.332,38.000659497409956,128.29133150738608,0.11,-0.049,-3.808,3.357,-2.307,358.337,-0.005,359.84,7.0,2.15,5631,-0.672,4,169.0,4.159,12.316,86.116,108.0,153.016,153.247,150.932,151.016,99.0,246.988,0.4,0.01,3.0,12.492,-16.908,360.022,24.151,3,318.157,1.109,-0.376,1.171,137.31,100.0,0.284,15.673,0.0,4.0,5631.405
11500.056,0.6051427675865406,26.28795359941703,0.00021755929323268253,128.2913306985494,38.00067876985037,419.75,152.532,38.00067878026796,128.29133069081158,0.111,-0.044,-3.809,3.371,-2.31,358.326,-0.004,358.84,7.0,2.15,5627,-0.569,4,169.0,4.159,12.315,86.216,108.0,153.119,153.539,151.13,151.116,99.0,243.788,0.4,0.09,3.0,12.442,-17.626,359.202,26.293,3,318.163,1.119,-0.329,1.166,137.281,100.0,0.181,15.528,0.0,4.0,5627.786
11502.205,0.5326929932634571,28.435944214909384,0.00017496430574859476,128.2913298726313,38.00069806567195,419.8,152.732,38.00069806797066,128.2913298718889,0.113,-0.039,-3.809,3.384,-2.314,358.315,-0.003,357.841,7.0,2.15,5626,-0.448,4,169.0,4.159,12.315,86.316,108.0,153.24,153.785,151.317,151.216,99.0,240.603,0.4,0.621,3.0,12.392,-18.354,358.382,28.438,3,318.158,1.134,-0.277,1.167,137.226,100.0,0.06,15.394,0.0,4.0,5626.374
11504.356,0.45955522221929535,30.586058670540396,0.00013863300419291588,128.29132903887017,38.000717380572404,419.85,152.932,38.000717391201164,128.2913290357464,0.116,-0.033,-3.812,3.391,-2.324,358.309,-0.002,356.851,7.0,2.15,5641,-0.198,4,169.0,4.159,12.314,86.414,108.0,153.489,153.69,151.422,151.32,99.0,237.527,0.4,4.461,3.0,12.344,-19.158,357.562,30.584,3,318.144,1.153,-0.222,1.174,137.157,100.0,-0.19,15.273,0.0,4.0,5641.154
11506.51,0.3858666013587057,32.738605752576426,9.354228630642144e-05,128.2913281988294,38.00073671732562,419.9,153.132,38.000736720208764,128.29132819840655,0.118,-0.028,-3.815,3.397,-2.334,358.304,-0.002,355.919,7.0,2.16,5654,0.052,4,169.0,4.159,12.314,86.5,108.0,153.732,153.625,151.555,151.448,99.0,235.18,0.4,7.37,3.0,12.308,-19.97,356.742,32.733,3,318.148,1.173,-0.164,1.185,136.948,100.0,-0.44,15.189,0.0,4.0,5654.639
11508.667,0.3117265093763911,34.893910817792104,3.094657450280188e-05,128.29132735364192,38.000756078854344,419.95,153.332,38.00075609158176,128.29132735228603,0.121,-0.021,-3.817,3.392,-2.341,358.304,-0.001,355.409,7.0,2.16,5658,0.3,4,169.0,4.159,12.313,86.5,108.0,153.935,153.781,151.899,151.745,99.0,238.18,0.4,3.45,3.0,12.358,-20.843,355.922,34.884,3,318.17,1.195,-0.102,1.199,136.758,100.0,-0.688,15.116,0.0,4.0,5658.629
11510.826,0.2373659823515281,37.05209809452931,-2.3374882043655302e-05,128.29132650594153,38.00077546627454,420.0,153.532,38.00077546951924,128.29132650604177,0.124,-0.014,-3.818,3.387,-2.347,358.304,0.0,354.84,7.0,2.16,5662,0.536,4,169.0,4.159,12.313,86.5,108.0,154.156,153.971,152.208,152.024,99.0,241.173,0.4,0.0,3.0,12.408,-21.695,355.102,37.039,3,318.15,1.215,-0.039,1.215,136.589,100.0,-0.924,15.055,0.0,4.0,5662.57
11512.989,0.16300516062128234,39.213315672122775,-6.28941512901017e-05,128.29132565823775,38.00079488091652,420.05,153.734,38.00079489559624,128.29132565888975,0.127,-0.007,-3.816,3.383,-2.342,358.305,0.001,353.84,7.0,2.16,5666,0.683,4,169.0,4.159,12.312,86.5,108.0,154.502,154.415,152.262,152.174,99.0,244.111,0.4,0.0,3.0,12.457,-22.389,354.287,39.196,3,318.141,1.232,0.026,1.233,136.438,100.0,-1.071,15.008,0.0,4.0,5666.15
11515.155,0.08876951969406906,41.37787659189865,-9.903146298911097e-05,128.29132481196103,38.0008143255924,420.1,153.948,38.0008143295057,128.29132481257875,0.13,-0.0,-3.813,3.381,-2.336,358.306,0.002,352.841,7.0,2.17,5670,0.812,4,169.0,4.159,12.312,86.5,108.0,154.824,154.824,152.34,152.324,99.0,246.688,0.4,0.0,3.0,12.5,-22.918,353.472,41.357,3,318.162,1.246,0.092,1.249,136.308,100.0,-1.2,14.972,0.0,4.0,5670.215
11517.324,0.01482847832788482,43.54611478157825,-0.00013592314870982213,128.29132396904274,38.00083380330192,420.15,154.246,38.0008338208532,128.29132397243526,0.131,0.007,-3.809,3.39,-2.332,358.318,0.003,351.851,7.0,2.17,5677,0.812,4,169.0,4.159,12.312,86.5,108.0,154.975,154.974,152.589,152.473,99.0,246.613,0.4,0.0,3.0,12.5,-22.242,352.657,43.522,3,318.163,1.256,0.157,1.266,136.194,100.0,-1.2,14.947,0.0,4.0,5677.846
